episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,1.909720872476204923e+00,1.301358449797109795e+00,1.100000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,7.721784724410906131e-01,2.820763511074272922e-01,2.100000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,5.787784136746666475e-01,1.743250558404189354e-01,2.200000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,4.396546096237817225e-01,9.704547578208995440e-02,5.400000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,4.859130997976622846e-01,1.063376558030472707e-01,8.600000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,5.898774784324466447e-01,1.474556118249825132e-01,2.500000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,1.155624210178654687e+00,5.726865994389799264e-01,1.100000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,5.646173507918100798e-01,1.391289547975063656e-01,3.100000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,8.329029002193315545e-01,3.370345366762609318e-01,1.600000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,7.580523972520549769e-01,2.720261054603332895e-01,9.100000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,5.653991311928477925e-01,1.542501771734937077e-01,2.000000000000000000e+02,1.980089760419496692e-01
1.100000000000000000e+01,5.057329708195195117e-01,1.112206176186733286e-01,6.200000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,5.217544457028905347e-01,1.169086676935740809e-01,1.190000000000000000e+02,1.976131560988418079e-01
1.300000000000000000e+01,8.849986455626929205e-01,2.923327291400774075e-01,3.700000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,8.183236004384917273e-01,2.405608818235616675e-01,3.000000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,5.171900986541753120e-01,1.094180358132036124e-01,7.300000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,7.196417948618027971e-01,2.026388935921846768e-01,1.600000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,6.802918714916330600e-01,1.625342607605063383e-01,1.110000000000000000e+02,1.966270644747648844e-01
1.800000000000000000e+01,4.914061774991158038e-01,9.352315928626120378e-02,1.390000000000000000e+02,1.964304374102901207e-01
1.900000000000000000e+01,7.529977356736828886e-01,2.212984689988054809e-01,1.500000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,3.578765051735064429e-01,4.807549061440537924e-02,1.590000000000000000e+02,1.960377729659069368e-01
2.100000000000000000e+01,8.343106673771045756e-01,2.564008018696377067e-01,4.200000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,1.256199440261864808e+00,4.358238146038042604e-01,9.000000000000000000e+00,1.956458934577481046e-01
2.300000000000000000e+01,3.600189945513260215e-01,4.855948401708397311e-02,5.600000000000000000e+01,1.954502475642903581e-01
2.400000000000000000e+01,3.013585993390267559e-01,3.589159353906632571e-02,1.520000000000000000e+02,1.952547973167260698e-01
2.500000000000000000e+01,4.242344485924125497e-01,7.256895887802962408e-02,2.090000000000000000e+02,1.950595425194093513e-01
2.600000000000000000e+01,4.382148127210466759e-01,7.805608320422169344e-02,1.310000000000000000e+02,1.948644829768899356e-01
2.700000000000000000e+01,5.075415394915347989e-01,9.638118479744504918e-02,5.300000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,4.252338980989582295e-01,5.798468744398894287e-02,1.040000000000000000e+02,1.944749488754191347e-01
2.900000000000000000e+01,4.320035181800636059e-01,7.917176259372937785e-02,1.050000000000000000e+02,1.942804739265437119e-01
3.000000000000000000e+01,5.021617338214472426e-01,1.081077153839353211e-01,4.900000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,2.992490232600856226e-01,3.350390128727999406e-02,8.300000000000000000e+01,1.938921072591645312e-01
