episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,7.337683836190682651e-01,2.736933065409374866e-01,3.200000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,6.035196525142798585e-01,1.895859170131273252e-01,7.300000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,6.362588801003216110e-01,2.221350958143756549e-01,5.800000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,4.717433039681787066e-01,1.178662115377390324e-01,1.010000000000000000e+02,1.994005997999999946e-01
4.000000000000000000e+00,8.199439540681369154e-01,3.288352159317268764e-01,6.000000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,1.939659111713946116e+00,1.560263330753171696e+00,9.000000000000000000e+00,1.990019980009997969e-01
6.000000000000000000e+00,6.055061920229584116e-01,1.847004225124547205e-01,3.500000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,6.207208085220010663e-01,1.992856877276423244e-01,1.650000000000000000e+02,1.986041930069958050e-01
8.000000000000000000e+00,5.990202818868957113e-01,1.988592155033481468e-01,1.140000000000000000e+02,1.984055888139888146e-01
9.000000000000000000e+00,7.041236229532764623e-01,2.464420462555109437e-01,7.700000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,8.958148166798921563e-01,3.374351510969858525e-01,1.500000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,6.639127584120126935e-01,1.851081712330740203e-01,3.800000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,8.641548957521382190e-01,3.010179544291405884e-01,1.200000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,6.173896972363527302e-01,1.918530513536249038e-01,2.080000000000000000e+02,1.974155429427429664e-01
1.400000000000000000e+01,6.240157912621556724e-01,1.610835304566639314e-01,4.900000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,1.134001960701620071e+00,4.792067121672248797e-01,1.000000000000000000e+01,1.970209092724004019e-01
