episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,1.045251533003141553e+00,4.726359566815729329e-01,1.800000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,3.956005860540944830e-01,8.446373765384541932e-02,7.700000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,7.137174933554555345e-01,2.362436084820851712e-01,3.300000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,6.759711277312319133e-01,1.957174428329437610e-01,2.000000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,6.869425834891121907e-01,2.068201987969290612e-01,1.600000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,9.564039989036552392e-01,4.065894575166464353e-01,1.100000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,5.063669058140423118e-01,1.436187692228373392e-01,2.780000000000000000e+02,1.988029960029988052e-01
7.000000000000000000e+00,4.978350258319244048e-01,1.043005788406907997e-01,3.500000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,6.337222962251272129e-01,2.028014434536518085e-01,3.800000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,1.048943109442350030e+00,3.823662018260065576e-01,1.200000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,1.091216736255110176e+00,4.584228046094622200e-01,1.200000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,5.261156205668165997e-01,1.043284812601915912e-01,1.800000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,8.465216800390286123e-01,2.771836179597080840e-01,1.200000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,5.042143591016639004e-01,1.104912681111511336e-01,9.700000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,5.317867987321450718e-01,1.323799465846916823e-01,7.300000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,5.788966394286533257e-01,1.349335476615507179e-01,2.600000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,1.118009393789999972e+00,4.657540877992787931e-01,9.000000000000000000e+00,1.968238883631280023e-01
1.700000000000000000e+01,3.442780162603581440e-01,5.513154749809667104e-02,1.340000000000000000e+02,1.966270644747648844e-01
1.800000000000000000e+01,7.283064142618362879e-01,2.454364027497973888e-01,4.700000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,3.912521132736351825e-01,6.629993445782504657e-02,4.700000000000000000e+01,1.962340069728798209e-01
