episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,1.274000463584021636e+00,7.227490098019752063e-01,1.200000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,1.011192542068570566e+00,5.420655780733646401e-01,1.000000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,7.150243848985962103e-01,2.751627110542423926e-01,1.000000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,7.269581488252017110e-01,2.592472472833025621e-01,9.000000000000000000e+00,1.994005997999999946e-01
4.000000000000000000e+00,1.001073471546779725e+00,5.134072409838208451e-01,1.100000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,1.144381426809182978e+00,6.411208152770490054e-01,1.300000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,7.415208163263904417e-01,3.152394500264142363e-01,1.200000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,6.916993544538179162e-01,2.655400062485116508e-01,1.000000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,8.518256155312965427e-01,3.581703538066275949e-01,1.000000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,6.381135605590568805e-01,2.400110699651495927e-01,1.000000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,8.208462350259834173e-01,3.820268649091149715e-01,1.300000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,2.082131978235424619e+00,1.620289701059333565e+00,1.000000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,5.109405895446388346e-01,1.558614954995776181e-01,1.610000000000000000e+02,1.976131560988418079e-01
1.300000000000000000e+01,6.812526292739684575e-01,2.237690944177259111e-01,1.270000000000000000e+02,1.974155429427429664e-01
1.400000000000000000e+01,1.011818533327725200e+00,3.933747579685107354e-01,1.500000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,1.225074800490944638e+00,5.950628859318350949e-01,1.200000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,1.132878792899664866e+00,5.107909666974201901e-01,1.300000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,1.466926389848570045e+00,8.349688867133107095e-01,9.000000000000000000e+00,1.966270644747648844e-01
1.800000000000000000e+01,8.833413569302669410e-01,3.592232724923031806e-01,3.700000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,1.133266447555468570e+00,4.794829219715328605e-01,1.000000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,1.366530054070463907e+00,7.274350168523118221e-01,1.200000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,1.171694374717622500e+00,5.755809641794835674e-01,1.100000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,6.426347991925421832e-01,1.823024592605244631e-01,3.900000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,1.259848793541486156e+00,6.043276882725653332e-01,1.000000000000000000e+01,1.954502475642903581e-01
2.400000000000000000e+01,1.302906500186415739e+00,6.446152908180741159e-01,1.300000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,1.565796468148031861e+00,9.300155946517472128e-01,9.000000000000000000e+00,1.950595425194093513e-01
2.600000000000000000e+01,9.766587857750668178e-01,4.051578657838639796e-01,4.000000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,5.589105295751665148e-01,1.346040660838580816e-01,5.200000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,6.447856222648191693e-01,1.507501549954581854e-01,1.800000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,5.818634870300928297e-01,1.603258638999876806e-01,1.340000000000000000e+02,1.942804739265437119e-01
3.000000000000000000e+01,1.007972898841775100e+00,3.170173310008604362e-01,1.100000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,7.900168864119564427e-01,2.557307425544600443e-01,4.400000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,4.794102421628886890e-01,8.328266351464658213e-02,3.100000000000000000e+01,1.936982151519053563e-01
3.300000000000000000e+01,4.757356213212291518e-01,9.394127828821755011e-02,5.300000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,9.337832253193731891e-01,2.701313708271198544e-01,1.500000000000000000e+01,1.933110124198166857e-01
