episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,7.038256575694545880e-01,2.167392466849689114e-01,2.100000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,2.002590683524871462e+00,1.584310464959837184e+00,9.000000000000000000e+00,1.998000000000000054e-01
2.000000000000000000e+00,1.015894144814343036e+00,4.791219501310011730e-01,4.200000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,6.346872944283895590e-01,1.866696941329949455e-01,1.070000000000000000e+02,1.994005997999999946e-01
4.000000000000000000e+00,5.563543863297054637e-01,1.409073920950680014e-01,2.100000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,1.048177047114471572e+00,4.837327794904371370e-01,1.300000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,1.502121845463571415e+00,8.657470362603609804e-01,9.000000000000000000e+00,1.988029960029988052e-01
7.000000000000000000e+00,1.431657470876059657e+00,7.911929047147058247e-01,1.200000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,1.394396304673563902e+00,7.170720917931070471e-01,1.000000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,6.705462709260222587e-01,1.932854541829269746e-01,4.100000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,5.984957112775904919e-01,1.432478381033283621e-01,5.200000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,1.209471681457384040e+00,5.350004991649692787e-01,1.000000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,5.050450068190606157e-01,1.214684814295117626e-01,1.830000000000000000e+02,1.976131560988418079e-01
1.300000000000000000e+01,7.677044193227071656e-01,2.296503087737289117e-01,7.600000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,6.810023367848596632e-01,1.626804861597209440e-01,3.400000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,6.326803753725060986e-01,1.622996759079820550e-01,2.100000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,9.804523007236157772e-01,2.941294294892827788e-01,1.300000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,3.669850963771472685e-01,5.356839929159429997e-02,8.300000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,3.787407008589711022e-01,6.010903722299197616e-02,1.450000000000000000e+02,1.964304374102901207e-01
1.900000000000000000e+01,3.536404169789663099e-01,5.705816795020108440e-02,4.700000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,5.150733810442288396e-01,9.343959120477761393e-02,4.300000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,3.394946620535192472e-01,4.429184367394113642e-02,1.180000000000000000e+02,1.958417351929410410e-01
2.200000000000000000e+01,7.084581520384537479e-01,1.743392935520927944e-01,1.300000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,6.644710889788307817e-01,1.273039922092604748e-01,1.600000000000000000e+01,1.954502475642903581e-01
2.400000000000000000e+01,4.700621366896163278e-01,7.483074758059725384e-02,6.700000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,6.012259789609907257e-01,1.366702534397664093e-01,2.000000000000000000e+01,1.950595425194093513e-01
2.600000000000000000e+01,5.505327012230800676e-01,9.360283208023195689e-02,3.800000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,3.248162396204634095e-01,3.890159012010790257e-02,1.900000000000000000e+02,1.946696184939130381e-01
2.800000000000000000e+01,5.057327467036927260e-01,1.017305609593794902e-01,4.800000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,2.832134791530672158e-01,2.774999791993280202e-02,9.400000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,4.854585952965900231e-01,7.427789605542850504e-02,2.100000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,6.472029511248332811e-01,1.083296605026039250e-01,1.500000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,3.261613186244595730e-01,3.430017657061860265e-02,3.500000000000000000e+01,1.936982151519053563e-01
3.300000000000000000e+01,3.026342906917785514e-01,3.038367597322360475e-02,7.000000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,3.986319994793262600e-01,5.267250097003781106e-02,3.200000000000000000e+01,1.933110124198166857e-01
3.500000000000000000e+01,8.202246699365703941e-01,1.912833405631950423e-01,1.300000000000000000e+01,1.931177014073968690e-01
3.600000000000000000e+01,7.321061782356041991e-01,1.433502810545810024e-01,1.300000000000000000e+01,1.929245837059894719e-01
3.700000000000000000e+01,4.346534977211235495e-01,5.605679196132246078e-02,2.100000000000000000e+01,1.927316591222834885e-01
3.800000000000000000e+01,3.574443644324677982e-01,4.000157958784592016e-02,7.400000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,6.886446213242557457e-01,1.774902545577500546e-01,2.000000000000000000e+01,1.923463885356980485e-01
4.000000000000000000e+01,2.504099894633384227e-01,1.931489982548387913e-02,4.800000000000000000e+01,1.921540421471623628e-01
4.100000000000000000e+01,3.016574386848770994e-01,2.873596014221682649e-02,6.500000000000000000e+01,1.919618881050151882e-01
4.200000000000000000e+01,3.188801000939011088e-01,3.464219393594920871e-02,2.140000000000000000e+02,1.917699262169101637e-01
4.300000000000000000e+01,3.810239957544096501e-01,5.872182568062846164e-02,3.600000000000000000e+01,1.915781562906932467e-01
4.400000000000000000e+01,2.487120356803637911e-01,2.048814765639428090e-02,1.420000000000000000e+02,1.913865781344025463e-01
4.500000000000000000e+01,3.190413304449720711e-01,3.455697228581567498e-02,5.300000000000000000e+01,1.911951915562681570e-01
4.600000000000000000e+01,2.543705672038928944e-01,2.343683878558809608e-02,9.600000000000000000e+01,1.910039963647118810e-01
4.700000000000000000e+01,6.090049805286756879e-01,1.188442067802160246e-01,1.700000000000000000e+01,1.908129923683471729e-01
4.800000000000000000e+01,3.516282331201249778e-01,4.141504524796771336e-02,4.300000000000000000e+01,1.906221793759788341e-01
4.900000000000000000e+01,3.069622136415824931e-01,3.200753427184643146e-02,5.500000000000000000e+01,1.904315571966028464e-01
5.000000000000000000e+01,4.645193804929992898e-01,7.102473846780012201e-02,4.800000000000000000e+01,1.902411256394062333e-01
5.100000000000000000e+01,5.163399924107033856e-01,1.018952866120544781e-01,2.600000000000000000e+01,1.900508845137668379e-01
5.200000000000000000e+01,2.340553952460568410e-01,1.708987252209240651e-02,5.400000000000000000e+01,1.898608336292530729e-01
5.300000000000000000e+01,2.392456500628157290e-01,2.066241891108061557e-02,9.600000000000000000e+01,1.896709727956238101e-01
5.400000000000000000e+01,4.668838979001010969e-01,8.017203504036377049e-02,2.200000000000000000e+01,1.894813018228281853e-01
5.500000000000000000e+01,5.005377630879602746e-01,5.900320991941992305e-02,1.600000000000000000e+01,1.892918205210053495e-01
5.600000000000000000e+01,2.327617023816585251e-01,1.572524446999504916e-02,4.200000000000000000e+01,1.891025287004843569e-01
5.700000000000000000e+01,3.486825267299642483e-01,2.862085637157009074e-02,2.400000000000000000e+01,1.889134261717838603e-01
5.800000000000000000e+01,2.779615816027815045e-01,2.495672173474249717e-02,7.000000000000000000e+01,1.887245127456120830e-01
5.900000000000000000e+01,6.806446918934964119e-01,1.705755565551227704e-01,1.800000000000000000e+01,1.885357882328664580e-01
6.000000000000000000e+01,2.768735818101207835e-01,2.463172765663483588e-02,7.200000000000000000e+01,1.883472524446336005e-01
6.100000000000000000e+01,3.394054503958924829e-01,4.218361403462235482e-02,1.140000000000000000e+02,1.881589051921889744e-01
6.200000000000000000e+01,3.587757576111856306e-01,5.149333756144843649e-02,3.900000000000000000e+01,1.879707462869967816e-01
6.300000000000000000e+01,1.828668882386966510e-01,1.076540989203365363e-02,2.720000000000000000e+02,1.877827755407097954e-01
6.400000000000000000e+01,4.063906108314970789e-01,8.371253628811355096e-02,5.700000000000000000e+01,1.875949927651690829e-01
6.500000000000000000e+01,3.679053684964477267e-01,4.223472177517277604e-02,4.300000000000000000e+01,1.874073977724039219e-01
6.600000000000000000e+01,2.994282028537894047e-01,3.303935870871863717e-02,1.020000000000000000e+02,1.872199903746315230e-01
6.700000000000000000e+01,7.264520167103021286e-01,1.986462201294994512e-01,1.800000000000000000e+01,1.870327703842568912e-01
6.800000000000000000e+01,2.372536419397347496e-01,1.585131501577287383e-02,9.400000000000000000e+01,1.868457376138726311e-01
6.900000000000000000e+01,4.455930740680192903e-01,7.446130160126360198e-02,2.600000000000000000e+01,1.866588918762587535e-01
7.000000000000000000e+01,2.052957752619861687e-01,1.289760685505323030e-02,8.300000000000000000e+01,1.864722329843825077e-01
7.100000000000000000e+01,4.017151157481449464e-01,5.515023529841728972e-02,5.400000000000000000e+01,1.862857607513981328e-01
7.200000000000000000e+01,4.498170694006551895e-01,6.863033629328070540e-02,4.100000000000000000e+01,1.860994749906467460e-01
7.300000000000000000e+01,2.991317215476821945e-01,2.948033983149492970e-02,8.700000000000000000e+01,1.859133755156560930e-01
7.400000000000000000e+01,4.090124516165180579e-01,7.106082465680488292e-02,8.100000000000000000e+01,1.857274621401404369e-01
7.500000000000000000e+01,5.380393615808761743e-01,1.085522116740714194e-01,3.300000000000000000e+01,1.855417346780003085e-01
7.600000000000000000e+01,2.602028157077118653e-01,1.961770194145463081e-02,3.100000000000000000e+01,1.853561929433223121e-01
7.700000000000000000e+01,2.246792170341496142e-01,1.558081683966828015e-02,8.400000000000000000e+01,1.851708367503789865e-01
7.800000000000000000e+01,5.604694938404681803e-01,1.128888308186546258e-01,2.200000000000000000e+01,1.849856659136286108e-01
7.900000000000000000e+01,2.270380446146386400e-01,1.671237755164119848e-02,9.000000000000000000e+01,1.848006802477149824e-01
8.000000000000000000e+01,4.285430221990208510e-01,7.736809965741414663e-02,3.900000000000000000e+01,1.846158795674672781e-01
8.100000000000000000e+01,2.355413703549903703e-01,1.731355824370290827e-02,1.060000000000000000e+02,1.844312636878998046e-01
8.200000000000000000e+01,4.830886944162446905e-01,8.960927725771979102e-02,4.100000000000000000e+01,1.842468324242119149e-01
8.300000000000000000e+01,2.674852687535341778e-01,2.262031621307059731e-02,5.500000000000000000e+01,1.840625855917877030e-01
8.400000000000000000e+01,1.995535508540283165e-01,1.636826632004514254e-02,1.230000000000000000e+02,1.838785230061959208e-01
8.500000000000000000e+01,5.513949416170289552e-01,1.078125974314786406e-01,2.300000000000000000e+01,1.836946444831897285e-01
8.600000000000000000e+01,2.471615975888647732e-01,1.779161683623790846e-02,4.700000000000000000e+01,1.835109498387065274e-01
8.700000000000000000e+01,2.639691511505221078e-01,2.121604730343313455e-02,4.100000000000000000e+01,1.833274388888678219e-01
8.800000000000000000e+01,2.092203770290453624e-01,1.460864819242118674e-02,8.400000000000000000e+01,1.831441114499789413e-01
8.900000000000000000e+01,2.291310546246245194e-01,2.063652578440645230e-02,1.260000000000000000e+02,1.829609673385289570e-01
9.000000000000000000e+01,2.912404357961905776e-01,2.732333596070927670e-02,6.600000000000000000e+01,1.827780063711904324e-01
9.100000000000000000e+01,2.824468957449226547e-01,3.235129758447261722e-02,8.900000000000000000e+01,1.825952283648192287e-01
9.200000000000000000e+01,5.759744662828929496e-01,1.101333600813278191e-01,2.300000000000000000e+01,1.824126331364544218e-01
9.300000000000000000e+01,1.692683884469168010e-01,9.084337755917380394e-03,7.100000000000000000e+01,1.822302205033179689e-01
9.400000000000000000e+01,3.323446018403743984e-01,3.515522955099171371e-02,3.600000000000000000e+01,1.820479902828146535e-01
9.500000000000000000e+01,2.629316721908462884e-01,1.986660532674156682e-02,4.500000000000000000e+01,1.818659422925318347e-01
9.600000000000000000e+01,2.637552070925145986e-01,2.299634807182017113e-02,4.000000000000000000e+01,1.816840763502393097e-01
9.700000000000000000e+01,1.415588393803180745e-01,7.319309928255656773e-03,1.310000000000000000e+02,1.815023922738890627e-01
9.800000000000000000e+01,5.231939574679808080e-01,9.654438763374317833e-02,2.400000000000000000e+01,1.813208898816151826e-01
9.900000000000000000e+01,1.374083348108339764e-01,6.103730453457284662e-03,9.100000000000000000e+01,1.811395689917335572e-01
1.000000000000000000e+02,2.622980532268552878e-01,2.370435657268278942e-02,1.280000000000000000e+02,1.809584294227418177e-01
1.010000000000000000e+02,1.156125774337318113e+00,4.690301970275648769e-01,1.300000000000000000e+01,1.807774709933190893e-01
1.020000000000000000e+02,2.153573985882656916e-01,1.486013699863264308e-02,8.600000000000000000e+01,1.805966935223257686e-01
1.030000000000000000e+02,3.772241573400952896e-01,4.771818882135520773e-02,4.400000000000000000e+01,1.804160968288034406e-01
1.040000000000000000e+02,3.027100790670073094e-01,2.894629965891672499e-02,4.000000000000000000e+01,1.802356807319746290e-01
1.050000000000000000e+02,1.970594082958788684e-01,1.150221724898102017e-02,6.200000000000000000e+01,1.800554450512426574e-01
1.060000000000000000e+02,1.681025526432663175e-01,1.029376709153845271e-02,1.780000000000000000e+02,1.798753896061914270e-01
1.070000000000000000e+02,4.126383433986613447e-01,7.244250127880880186e-02,7.900000000000000000e+01,1.796955142165852226e-01
1.080000000000000000e+02,6.152008035779420458e-01,1.288580147807290022e-01,1.900000000000000000e+01,1.795158187023686291e-01
1.090000000000000000e+02,1.398954716129443276e-01,5.757202933667849090e-03,2.320000000000000000e+02,1.793363028836662543e-01
1.100000000000000000e+02,2.449926056458699708e-01,1.809513262498041453e-02,9.300000000000000000e+01,1.791569665807825895e-01
1.110000000000000000e+02,6.129712673775790099e-01,1.256576359790319841e-01,2.200000000000000000e+01,1.789778096142018160e-01
1.120000000000000000e+02,1.370841104595601490e-01,6.923455298613031238e-03,1.520000000000000000e+02,1.787988318045876102e-01
1.130000000000000000e+02,4.351998127698833430e-01,6.091098394579530506e-02,3.400000000000000000e+01,1.786200329727830327e-01
1.140000000000000000e+02,2.699011370181944591e-01,2.225845579854782499e-02,6.900000000000000000e+01,1.784414129398102511e-01
1.150000000000000000e+02,5.640541587576788363e-01,1.033035651658791715e-01,2.400000000000000000e+01,1.782629715268704285e-01
1.160000000000000000e+02,1.882872695845566879e-01,1.263134615629394122e-02,1.070000000000000000e+02,1.780847085553435571e-01
1.170000000000000000e+02,2.597884723637979842e-01,3.300425230193820836e-02,8.900000000000000000e+01,1.779066238467882088e-01
1.180000000000000000e+02,4.618134487563855806e-01,6.521904651538161513e-02,2.200000000000000000e+01,1.777287172229414236e-01
1.190000000000000000e+02,1.653243110925120551e-01,7.954503412207117319e-03,9.900000000000000000e+01,1.775509885057184878e-01
1.200000000000000000e+02,6.330195415220389865e-01,1.220949273221777764e-01,1.700000000000000000e+01,1.773734375172127675e-01
1.210000000000000000e+02,2.156604905316912013e-01,1.466916195011430495e-02,4.100000000000000000e+01,1.771960640796955422e-01
1.220000000000000000e+02,3.248388356128237842e-01,3.266202502193620710e-02,5.200000000000000000e+01,1.770188680156158378e-01
1.230000000000000000e+02,3.667174251793926532e-01,4.312486070362971796e-02,3.900000000000000000e+01,1.768418491476002330e-01
1.240000000000000000e+02,2.092093566271821525e-01,1.483054656120116020e-02,8.600000000000000000e+01,1.766650072984526365e-01
1.250000000000000000e+02,6.360169910669225546e-01,1.315024872472725093e-01,2.400000000000000000e+01,1.764883422911541766e-01
1.260000000000000000e+02,1.330851711402492588e-01,5.847986954970207409e-03,2.500000000000000000e+02,1.763118539488630343e-01
1.270000000000000000e+02,6.561293819721832898e-01,1.471873453977241286e-01,2.900000000000000000e+01,1.761355420949141659e-01
1.280000000000000000e+02,1.786113447625603812e-01,9.538148693768349826e-03,5.000000000000000000e+01,1.759594065528192475e-01
1.290000000000000000e+02,2.074687951131242714e-01,1.383467825101108301e-02,8.200000000000000000e+01,1.757834471462664250e-01
1.300000000000000000e+02,3.931149496746235705e-01,4.887668817083434813e-02,3.800000000000000000e+01,1.756076636991201478e-01
1.310000000000000000e+02,2.171424438738681628e-01,1.484405162856474412e-02,6.400000000000000000e+01,1.754320560354210301e-01
1.320000000000000000e+02,1.720224140449518879e-01,1.186764551488563371e-02,1.330000000000000000e+02,1.752566239793856007e-01
1.330000000000000000e+02,3.253259402399242828e-01,2.776231588870617037e-02,2.300000000000000000e+01,1.750813673554062200e-01
1.340000000000000000e+02,1.557771428547595760e-01,8.592781110094763891e-03,8.200000000000000000e+01,1.749062859880508025e-01
1.350000000000000000e+02,2.911638346671593380e-01,2.803438489431239744e-02,8.500000000000000000e+01,1.747313797020627613e-01
1.360000000000000000e+02,4.479548879506317083e-01,7.229698334281856043e-02,3.600000000000000000e+01,1.745566483223607024e-01
1.370000000000000000e+02,1.891005173656897242e-01,9.883678606470523015e-03,6.500000000000000000e+01,1.743820916740383420e-01
1.380000000000000000e+02,4.711691363178378555e-01,6.260205581593203394e-02,1.600000000000000000e+01,1.742077095823643118e-01
1.390000000000000000e+02,1.346811176426239431e-01,6.819625031774610019e-03,1.950000000000000000e+02,1.740335018727819372e-01
1.400000000000000000e+02,7.031475514725236131e-01,1.733459323529967788e-01,2.900000000000000000e+01,1.738594683709091537e-01
1.410000000000000000e+02,1.096927491275856703e-01,3.836238311785470766e-03,1.040000000000000000e+02,1.736856089025382577e-01
1.420000000000000000e+02,1.715824899777650958e-01,1.037589787310662891e-02,5.200000000000000000e+01,1.735119232936357114e-01
1.430000000000000000e+02,2.243342545132833432e-01,1.523940692080410705e-02,6.200000000000000000e+01,1.733384113703420881e-01
1.440000000000000000e+02,4.032260088628205619e-01,4.709884223476380055e-02,3.000000000000000000e+01,1.731650729589717386e-01
1.450000000000000000e+02,1.711860581430842410e-01,9.587969322885338264e-03,1.250000000000000000e+02,1.729919078860127635e-01
1.460000000000000000e+02,6.095471581255502702e-01,1.190169189953068085e-01,3.500000000000000000e+01,1.728189159781267636e-01
1.470000000000000000e+02,2.618706976681172693e-01,1.926664089573264238e-02,4.400000000000000000e+01,1.726460970621486457e-01
1.480000000000000000e+02,2.372511270857404486e-01,1.787422425641055704e-02,7.100000000000000000e+01,1.724734509650864833e-01
1.490000000000000000e+02,4.168591507828389719e-01,4.977451316236293499e-02,2.300000000000000000e+01,1.723009775141214062e-01
1.500000000000000000e+02,2.133960070459291203e-01,1.605613829645513579e-02,8.700000000000000000e+01,1.721286765366072946e-01
