episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,7.642054985397721545e-01,2.696682790312407985e-01,1.300000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,3.040459443572605114e-01,4.974797781775078948e-02,1.800000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,1.348497796489088962e+00,6.855762929030545516e-01,1.200000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,8.540802077715045071e-01,3.109589972811611092e-01,1.800000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,4.620496223515196399e-01,9.724737059456084465e-02,3.300000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,1.143817363530011511e+00,5.080484386912105244e-01,9.000000000000000000e+00,1.990019980009997969e-01
6.000000000000000000e+00,1.017610133216983792e+00,4.348697170272532997e-01,1.200000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,7.172536449301836203e-01,2.360222404395783125e-01,3.900000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,1.390860015052231669e+00,7.101422093457383511e-01,1.200000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,1.180274047438377938e+00,5.368934636231260660e-01,1.100000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,9.833135332872511292e-01,4.112296352195340954e-01,1.300000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,1.253599298285488661e+00,6.129241131888529814e-01,1.200000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,1.404864078908803160e+00,7.037880716368688505e-01,1.000000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,1.122301002059964858e+00,4.479818441446278832e-01,1.200000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,8.184303435913373725e-01,2.844487950621539807e-01,8.600000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,4.649968582916338966e-01,9.324204978828476431e-02,6.300000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,4.611570303155145267e-01,8.949926271774866215e-02,1.280000000000000000e+02,1.968238883631280023e-01
1.700000000000000000e+01,4.875927976896552996e-01,1.177544483900764272e-01,4.800000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,8.899033766632146181e-01,2.731511994628467721e-01,1.400000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,1.501746635393688578e+00,7.049716136071954020e-01,1.000000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,4.696765877127409006e-01,8.181211965673754194e-02,3.400000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,9.572175296316223214e-01,3.011131977184277053e-01,1.000000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,6.217103014348518419e-01,1.430271698472972697e-01,7.400000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,4.856837850802687706e-01,1.046479957140312306e-01,1.200000000000000000e+02,1.954502475642903581e-01
2.400000000000000000e+01,5.687381245399613094e-01,1.070015022326028797e-01,8.300000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,9.038214753673268209e-01,2.769347352641696736e-01,1.400000000000000000e+01,1.950595425194093513e-01
2.600000000000000000e+01,3.914480894278662415e-01,6.319347251676445121e-02,1.160000000000000000e+02,1.948644829768899356e-01
2.700000000000000000e+01,4.372725308512637188e-01,7.896912095156194411e-02,8.700000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,4.043838865734893928e-01,5.875336895897317196e-02,3.600000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,3.871968394406686831e-01,4.745696717346684079e-02,3.000000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,3.615572594692222919e-01,4.205941468265594202e-02,9.600000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,4.622905392503762756e-01,8.334359209284548931e-02,6.100000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,3.307884103545633003e-01,4.240834099206001323e-02,1.770000000000000000e+02,1.936982151519053563e-01
3.300000000000000000e+01,5.422352919154582729e-01,1.206886880471733647e-01,2.900000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,4.544499442382832211e-01,5.800659720597670099e-02,1.600000000000000000e+01,1.933110124198166857e-01
3.500000000000000000e+01,5.244622705694641507e-01,9.228245517919943242e-02,2.000000000000000000e+01,1.931177014073968690e-01
3.600000000000000000e+01,2.601283871413410664e-01,2.241437093335022987e-02,1.190000000000000000e+02,1.929245837059894719e-01
3.700000000000000000e+01,4.225202668277012741e-01,6.959314734888581711e-02,6.400000000000000000e+01,1.927316591222834885e-01
3.800000000000000000e+01,5.141770721740137606e-01,8.321789848975899573e-02,5.500000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,3.394297748711955776e-01,4.178818273591951987e-02,1.050000000000000000e+02,1.923463885356980485e-01
4.000000000000000000e+01,6.408027328991044991e-01,1.851239306277120966e-01,3.500000000000000000e+01,1.921540421471623628e-01
4.100000000000000000e+01,3.439840724866312094e-01,3.798931202070121582e-02,5.300000000000000000e+01,1.919618881050151882e-01
4.200000000000000000e+01,3.080590145632821075e-01,3.732295707160524639e-02,7.400000000000000000e+01,1.917699262169101637e-01
4.300000000000000000e+01,2.783410979951474462e-01,3.199363265942743728e-02,1.130000000000000000e+02,1.915781562906932467e-01
4.400000000000000000e+01,7.937120746093020429e-01,2.557177173237154544e-01,1.600000000000000000e+01,1.913865781344025463e-01
4.500000000000000000e+01,3.385618327270152328e-01,4.221213353106673116e-02,4.400000000000000000e+01,1.911951915562681570e-01
4.600000000000000000e+01,3.776955200481963426e-01,4.720329890930822364e-02,6.600000000000000000e+01,1.910039963647118810e-01
4.700000000000000000e+01,5.751086535659852839e-01,1.446533426486072971e-01,3.400000000000000000e+01,1.908129923683471729e-01
4.800000000000000000e+01,2.480003953500068692e-01,2.071347761536556156e-02,5.100000000000000000e+01,1.906221793759788341e-01
4.900000000000000000e+01,3.172660308872672918e-01,3.291578119596639401e-02,5.800000000000000000e+01,1.904315571966028464e-01
5.000000000000000000e+01,6.739776229789878892e-01,1.507774807864830369e-01,1.100000000000000000e+01,1.902411256394062333e-01
5.100000000000000000e+01,2.233920905554985237e-01,1.599453942315160263e-02,7.500000000000000000e+01,1.900508845137668379e-01
5.200000000000000000e+01,2.160338940585525558e-01,2.134305633192983692e-02,1.080000000000000000e+02,1.898608336292530729e-01
5.300000000000000000e+01,3.361655646348887250e-01,3.547799782904623861e-02,2.400000000000000000e+01,1.896709727956238101e-01
5.400000000000000000e+01,3.552646821325199378e-01,3.698383091348593499e-02,5.000000000000000000e+01,1.894813018228281853e-01
5.500000000000000000e+01,3.264186731466693359e-01,5.095266049591010843e-02,5.500000000000000000e+01,1.892918205210053495e-01
5.600000000000000000e+01,2.916330593149542016e-01,2.879998904686188743e-02,5.800000000000000000e+01,1.891025287004843569e-01
5.700000000000000000e+01,3.190180812491503204e-01,4.291309110153266465e-02,5.200000000000000000e+01,1.889134261717838603e-01
5.800000000000000000e+01,3.700531595452246081e-01,4.613142515497714591e-02,2.300000000000000000e+01,1.887245127456120830e-01
5.900000000000000000e+01,2.885513305918039340e-01,2.487891748030146219e-02,4.400000000000000000e+01,1.885357882328664580e-01
6.000000000000000000e+01,2.278311165383275771e-01,2.042589895489492838e-02,1.020000000000000000e+02,1.883472524446336005e-01
6.100000000000000000e+01,4.406975039582777809e-01,9.564069139186719137e-02,4.000000000000000000e+01,1.881589051921889744e-01
6.200000000000000000e+01,4.546211876654367989e-01,5.466822207570585374e-02,1.500000000000000000e+01,1.879707462869967816e-01
6.300000000000000000e+01,2.274453720967203885e-01,1.420481382854764732e-02,3.100000000000000000e+01,1.877827755407097954e-01
6.400000000000000000e+01,2.694893408941091417e-01,2.193412702713297413e-02,4.000000000000000000e+01,1.875949927651690829e-01
6.500000000000000000e+01,3.171604605973834534e-01,3.312463537720566203e-02,3.400000000000000000e+01,1.874073977724039219e-01
6.600000000000000000e+01,3.848276881370982783e-01,4.501736865496323153e-02,2.300000000000000000e+01,1.872199903746315230e-01
6.700000000000000000e+01,2.106552689774924547e-01,1.499359645174285632e-02,1.020000000000000000e+02,1.870327703842568912e-01
6.800000000000000000e+01,3.490045571831558724e-01,4.805160098810844216e-02,9.400000000000000000e+01,1.868457376138726311e-01
6.900000000000000000e+01,5.632205805440414492e-01,1.126762962956028014e-01,2.900000000000000000e+01,1.866588918762587535e-01
7.000000000000000000e+01,2.413277408532107648e-01,1.916987502475318156e-02,4.000000000000000000e+01,1.864722329843825077e-01
7.100000000000000000e+01,1.445285313659791238e-01,7.654931877887287406e-03,3.430000000000000000e+02,1.862857607513981328e-01
7.200000000000000000e+01,3.657287900720889717e-01,5.935475117536303385e-02,4.400000000000000000e+01,1.860994749906467460e-01
7.300000000000000000e+01,1.485908384567228568e-01,7.944781311392127079e-03,1.180000000000000000e+02,1.859133755156560930e-01
7.400000000000000000e+01,2.165928493150842127e-01,1.893260189698943094e-02,1.010000000000000000e+02,1.857274621401404369e-01
7.500000000000000000e+01,4.639269325741171013e-01,8.482725648001784857e-02,2.600000000000000000e+01,1.855417346780003085e-01
7.600000000000000000e+01,2.041864835347073082e-01,1.264472788337613757e-02,1.040000000000000000e+02,1.853561929433223121e-01
7.700000000000000000e+01,5.440085033698344175e-01,1.173700429209868362e-01,2.500000000000000000e+01,1.851708367503789865e-01
7.800000000000000000e+01,1.665571321887490686e-01,1.043385647602307169e-02,6.400000000000000000e+01,1.849856659136286108e-01
7.900000000000000000e+01,3.598787966244778036e-01,4.961125787034103424e-02,4.600000000000000000e+01,1.848006802477149824e-01
