episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,5.420577567314551759e-01,1.519158762010243691e-01,6.400000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,6.797069906721449062e-01,2.545535422150173033e-01,1.040000000000000000e+02,1.998000000000000054e-01
2.000000000000000000e+00,2.160035448003651659e+00,1.684631588569198701e+00,1.000000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,1.087936918923871232e+00,4.737326023123332730e-01,1.000000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,7.526145965682596861e-01,2.486324160449762122e-01,3.800000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,5.436551805725758912e-01,1.370198880266625951e-01,8.400000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,6.827615979873596919e-01,1.921117259974047253e-01,4.600000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,8.328725827118076408e-01,2.507655735606071912e-01,1.200000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,5.764864374429725657e-01,1.480668531911197572e-01,2.200000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,6.606848667692681865e-01,1.990812603775180822e-01,1.040000000000000000e+02,1.982071832251748322e-01
1.000000000000000000e+01,9.511703886562995480e-01,2.995004754835041139e-01,1.300000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,7.561847868655957594e-01,1.865778611397840570e-01,1.600000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,9.782199774775565126e-01,3.108320383522499286e-01,1.200000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,3.708565967015893805e-01,5.056945902030825918e-02,8.500000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,4.690534581901782962e-01,8.811714156030207856e-02,1.150000000000000000e+02,1.972181273998002138e-01
1.500000000000000000e+01,5.998483455705703182e-01,1.364060701550220966e-01,5.000000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,5.090404514480957321e-01,8.820049723844050615e-02,3.100000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,3.060694368852303060e-01,3.958499563994643394e-02,5.000000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,7.765707956026308700e-01,1.944375795959158437e-01,1.300000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,8.991880487826334756e-01,2.444340831584221607e-01,1.100000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,4.142774543038938995e-01,5.930895299560651895e-02,1.030000000000000000e+02,1.960377729659069368e-01
2.100000000000000000e+01,7.136123199436293918e-01,2.408938208419755811e-01,3.300000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,4.644131084802362586e-01,7.218171671589097838e-02,5.600000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,3.448936849053054199e-01,4.302093841064909968e-02,3.900000000000000000e+01,1.954502475642903581e-01
2.400000000000000000e+01,3.666571108353353092e-01,4.437333407692072712e-02,5.300000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,7.828615190048665573e-01,1.828806578860940613e-01,1.200000000000000000e+01,1.950595425194093513e-01
2.600000000000000000e+01,3.390086272463295747e-01,4.273631528421799330e-02,1.270000000000000000e+02,1.948644829768899356e-01
2.700000000000000000e+01,3.269899261193278672e-01,3.536371748596667947e-02,4.600000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,3.945779168681775584e-01,5.835710745504771313e-02,2.900000000000000000e+01,1.944749488754191347e-01
