episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,9.236579933211063187e-01,3.459060031891156295e-01,2.100000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,7.623134961269343313e-01,2.970163517059318803e-01,4.800000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,5.434797880519020019e-01,1.211396987822020016e-01,2.700000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,1.417368477072139088e+00,7.570719862071551010e-01,1.000000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,9.014473139455900785e-01,3.999552503769149281e-01,1.500000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,1.279673024091873001e+00,6.258734480235560449e-01,9.000000000000000000e+00,1.990019980009997969e-01
6.000000000000000000e+00,1.359018976125745404e+00,7.242906534281029485e-01,9.000000000000000000e+00,1.988029960029988052e-01
7.000000000000000000e+00,7.217353299373953091e-01,2.451839338430051862e-01,1.060000000000000000e+02,1.986041930069958050e-01
8.000000000000000000e+00,9.785855779084013939e-01,3.935848381155899189e-01,3.600000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,1.340226072524748790e+00,6.267336432075107933e-01,1.100000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,7.093275548229069916e-01,2.461540891807577902e-01,4.900000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,4.910408928270016959e-01,9.700281080869500860e-02,5.400000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,8.048329682545821706e-01,2.438016245099849932e-01,6.100000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,6.572894850020161162e-01,1.659334979599450255e-01,9.400000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,6.680166389194164278e-01,1.813683514071138814e-01,7.800000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,6.049291937769892824e-01,1.418585575861532888e-01,7.400000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,5.213771298941018983e-01,1.024842930970549099e-01,2.000000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,3.968105515555965801e-01,5.487648761382105111e-02,2.900000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,3.706067871019065874e-01,5.654075622741195489e-02,3.980000000000000000e+02,1.964304374102901207e-01
1.900000000000000000e+01,3.938601971450049199e-01,6.511947401736067897e-02,1.000000000000000000e+02,1.962340069728798209e-01
2.000000000000000000e+01,7.638876193432166950e-01,1.777020061064586431e-01,1.300000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,2.969445449222065658e-01,3.043620596597140793e-02,1.110000000000000000e+02,1.958417351929410410e-01
2.200000000000000000e+01,3.126384277271392342e-01,4.077866773180466309e-02,1.920000000000000000e+02,1.956458934577481046e-01
2.300000000000000000e+01,7.921651244368299594e-01,1.763889439987660346e-01,1.100000000000000000e+01,1.954502475642903581e-01
2.400000000000000000e+01,3.709281907889154239e-01,4.545628511324632803e-02,4.400000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,6.882003814701510569e-01,1.352552687293847866e-01,1.300000000000000000e+01,1.950595425194093513e-01
2.600000000000000000e+01,3.659847590374128989e-01,4.336840242136418694e-02,6.800000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,4.703547221758925256e-01,1.051071873556087138e-01,3.400000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,6.538526231115796561e-01,1.086190391409841000e-01,1.600000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,2.917221520936644219e-01,3.023242479875487207e-02,8.800000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,3.898701028592644335e-01,5.954433803755079108e-02,9.400000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,4.830004759406987813e-01,1.016375947915950928e-01,4.700000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,4.467294896703040141e-01,7.801987275646568576e-02,2.300000000000000000e+01,1.936982151519053563e-01
3.300000000000000000e+01,2.988016653540152001e-01,2.749820925059144605e-02,6.200000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,2.845837463276838508e-01,2.886930262956837259e-02,1.220000000000000000e+02,1.933110124198166857e-01
3.500000000000000000e+01,4.918643107322505648e-01,1.054232579089727506e-01,4.400000000000000000e+01,1.931177014073968690e-01
3.600000000000000000e+01,4.014136208278846762e-01,5.521970851952456155e-02,4.700000000000000000e+01,1.929245837059894719e-01
3.700000000000000000e+01,4.085342992803447371e-01,5.440094476059584294e-02,5.900000000000000000e+01,1.927316591222834885e-01
3.800000000000000000e+01,3.352138038099588546e-01,4.312418774929525911e-02,3.500000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,2.508457490872826323e-01,2.222861918104978088e-02,9.300000000000000000e+01,1.923463885356980485e-01
4.000000000000000000e+01,3.020092634183542124e-01,3.830263458523876230e-02,1.040000000000000000e+02,1.921540421471623628e-01
