episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,6.017559838930182092e-01,1.782549342187714214e-01,3.300000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,8.851066425126875581e-01,3.291715973774859694e-01,1.400000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,1.533521953843765884e+00,9.611205566411425982e-01,9.000000000000000000e+00,1.996002000000000054e-01
3.000000000000000000e+00,7.573090573371892287e-01,2.935268395994590218e-01,2.700000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,6.761780432743978997e-01,2.292945804898030571e-01,8.700000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,4.334154700981857067e-01,1.030434939689537366e-01,1.190000000000000000e+02,1.990019980009997969e-01
6.000000000000000000e+00,6.772846163482395543e-01,2.130396782768999020e-01,1.070000000000000000e+02,1.988029960029988052e-01
7.000000000000000000e+00,1.207964378279427820e+00,5.586944583245927465e-01,1.400000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,1.074965316815420513e+00,4.385456585686879349e-01,1.400000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,6.231220223449276396e-01,1.932587245821680011e-01,2.700000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,6.088184199709397726e-01,1.756266942288980670e-01,1.460000000000000000e+02,1.980089760419496692e-01
1.100000000000000000e+01,6.404778368049016679e-01,2.036714975774418235e-01,1.000000000000000000e+02,1.978109670659077279e-01
1.200000000000000000e+01,5.103572378942362597e-01,1.188002616522966376e-01,8.400000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,4.002196420235595853e-01,7.966891235942000216e-02,1.590000000000000000e+02,1.974155429427429664e-01
1.400000000000000000e+01,6.344713523649251341e-01,1.732078489893816575e-01,7.400000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,4.562796366794015235e-01,8.861546293091976390e-02,9.300000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,5.288128119871206012e-01,1.195102170857259838e-01,5.600000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,5.406170101037648390e-01,1.111007260217640735e-01,4.500000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,5.322752703339039826e-01,1.048458869409598093e-01,4.300000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,4.383096890220349873e-01,7.610780621557587666e-02,5.200000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,3.999931309737555507e-01,6.666938897672659847e-02,1.330000000000000000e+02,1.960377729659069368e-01
