episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,8.775701492620848754e-01,4.091982467798928047e-01,2.100000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,6.623742237379262043e-01,2.464011703355985239e-01,2.500000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,3.804471477209268038e-01,7.500038284170844338e-02,2.100000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,7.673176717976354366e-01,2.872210006552541883e-01,1.160000000000000000e+02,1.994005997999999946e-01
4.000000000000000000e+00,8.996680011181440451e-01,3.540446209028669244e-01,2.400000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,9.534834155097596797e-01,4.083613479242519384e-01,3.500000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,6.991637493316636975e-01,2.070736692876627427e-01,4.500000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,9.422490279410161707e-01,3.997778600300082585e-01,3.900000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,6.705331433766024141e-01,2.037392843853602642e-01,3.600000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,1.625468809666358982e+00,9.860133129456757350e-01,9.000000000000000000e+00,1.982071832251748322e-01
1.000000000000000000e+01,7.879175393907766889e-01,2.736496785636114981e-01,5.600000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,1.377786983615661542e+00,7.162500289891227112e-01,1.000000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,7.921625589699152759e-01,2.505621719188527163e-01,3.500000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,5.803338570787692774e-01,1.426932715132896157e-01,1.700000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,7.727255282881931864e-01,2.415715663830721172e-01,5.900000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,1.299628647663458869e+00,6.130834157157792896e-01,1.100000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,1.368391894619944260e+00,6.101726826793898439e-01,1.300000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,1.501214255803569708e+00,8.228165486963692210e-01,9.000000000000000000e+00,1.966270644747648844e-01
1.800000000000000000e+01,7.893306824660788479e-01,2.320221458422366545e-01,6.100000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,7.703068517394581205e-01,2.176439699809476214e-01,1.400000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,7.131841400099721007e-01,1.955989151964973027e-01,2.500000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,6.277959861135629094e-01,1.708677460909779067e-01,1.050000000000000000e+02,1.958417351929410410e-01
2.200000000000000000e+01,5.825507081396728015e-01,1.345105306717899740e-01,2.000000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,4.826402634797952174e-01,8.238719824402257474e-02,1.320000000000000000e+02,1.954502475642903581e-01
2.400000000000000000e+01,6.302749062573279604e-01,1.660081285844047239e-01,7.700000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,5.057341453511425833e-01,9.897154988961634481e-02,9.400000000000000000e+01,1.950595425194093513e-01
2.600000000000000000e+01,8.866212342487137521e-01,3.335807179228026942e-01,1.800000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,6.070019830763400126e-01,1.037638814013376043e-01,1.900000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,4.380266654836039164e-01,6.751430622513081292e-02,7.000000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,4.175884562160641078e-01,7.114520865247080106e-02,9.500000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,1.102539269493158836e+00,4.522510494773522849e-01,1.000000000000000000e+01,1.940861934526171562e-01
