episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,1.653588135949481952e+00,1.025391596112052550e+00,1.000000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,6.136276218808945915e-01,1.833769166626596225e-01,4.600000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,5.617244316236763568e-01,1.481351571335628170e-01,3.000000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,7.137331966108497738e-01,2.206023740677125755e-01,7.000000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,8.303887946996553193e-01,2.871548141811794963e-01,4.500000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,1.049186885910860179e+00,4.358181061142032409e-01,1.100000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,1.277053633026373758e+00,5.876284358134804542e-01,1.000000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,5.305890588737055547e-01,1.274608365509279362e-01,9.100000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,7.207712416542517708e-01,2.200068283422089432e-01,4.300000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,8.746312682516880210e-01,3.127664077705272772e-01,6.200000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,5.789831967561251957e-01,1.367794545291674546e-01,6.900000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,6.178237876256368333e-01,1.662062033130217165e-01,6.500000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,6.315345302627949353e-01,1.640767784560738518e-01,2.400000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,5.938712804078910557e-01,1.468185711044203701e-01,1.220000000000000000e+02,1.974155429427429664e-01
1.400000000000000000e+01,9.047767508281303606e-01,3.126238804132430160e-01,1.400000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,8.940383459582079695e-01,2.696576008971968696e-01,1.500000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,6.461647564769065211e-01,1.653689852090493018e-01,2.200000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,1.007406300680520284e+00,3.246930679674616682e-01,1.200000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,1.011933610930606298e+00,3.117803999700644590e-01,1.200000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,6.859087200634836901e-01,1.781301043803766582e-01,4.600000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,9.926094049097199390e-01,3.203444574007163759e-01,1.100000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,6.554005811974944473e-01,1.365758910946850146e-01,4.100000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,5.083069630207871503e-01,9.699672403691872447e-02,6.500000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,8.376927129452437226e-01,2.387788305758111740e-01,1.400000000000000000e+01,1.954502475642903581e-01
2.400000000000000000e+01,7.848834013884604666e-01,1.805686868599847006e-01,1.500000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,3.228258588585747879e-01,3.902379880568602327e-02,1.030000000000000000e+02,1.950595425194093513e-01
2.600000000000000000e+01,8.166458572736347010e-01,2.548966351103944539e-01,1.500000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,7.074952989850399332e-01,1.789255785887886030e-01,1.600000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,3.488674048459064481e-01,4.223720031066618974e-02,8.500000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,1.116620247638536068e+00,3.736400250465107820e-01,1.100000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,6.873856289936561836e-01,1.652567385479389306e-01,2.900000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,3.292667146560828706e-01,3.612969853188864600e-02,4.600000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,3.500936121257772760e-01,4.403441454520748422e-02,1.410000000000000000e+02,1.936982151519053563e-01
3.300000000000000000e+01,6.229764045860394228e-01,1.403414975052631464e-01,3.900000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,5.512000101419723963e-01,9.407195554066920262e-02,7.100000000000000000e+01,1.933110124198166857e-01
3.500000000000000000e+01,4.033565389144621594e-01,7.557003335321388349e-02,8.800000000000000000e+01,1.931177014073968690e-01
3.600000000000000000e+01,4.669657177077937149e-01,8.514513657586827988e-02,8.100000000000000000e+01,1.929245837059894719e-01
3.700000000000000000e+01,5.364359719601292653e-01,1.092559324845057411e-01,3.900000000000000000e+01,1.927316591222834885e-01
3.800000000000000000e+01,5.532571547760588571e-01,8.497945004849913331e-02,2.000000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,3.760725759958492009e-01,3.930472783946060977e-02,8.600000000000000000e+01,1.923463885356980485e-01
4.000000000000000000e+01,7.692413908764809127e-01,2.400641502865013266e-01,1.700000000000000000e+01,1.921540421471623628e-01
