episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,6.192822467006593445e-01,1.854404255454002171e-01,1.140000000000000000e+02,2.000000000000000111e-01
1.000000000000000000e+00,7.183688014963367507e-01,2.956488143516065592e-01,6.900000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,6.960942789729880342e-01,1.948283768031953134e-01,2.300000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,1.116790100480427039e+00,5.577170470598468155e-01,1.300000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,7.391535365665168333e-01,2.567411821650231185e-01,8.600000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,1.008408547688659729e+00,4.422017879215756619e-01,8.100000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,1.544382391261602594e+00,9.112201509047972436e-01,8.000000000000000000e+00,1.988029960029988052e-01
7.000000000000000000e+00,1.036570581806715019e+00,4.777766861187761616e-01,2.700000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,1.714138281460951152e+00,1.012420725867539506e+00,9.000000000000000000e+00,1.984055888139888146e-01
9.000000000000000000e+00,1.019856023850709059e+00,4.489745462345263172e-01,1.300000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,1.372198838054430547e+00,6.932911349436782222e-01,1.100000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,1.272630931591980818e+00,6.494066900147079657e-01,1.100000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,1.435370411747576957e+00,7.746202354899381914e-01,9.000000000000000000e+00,1.976131560988418079e-01
1.300000000000000000e+01,1.470048343923216816e+00,8.504161930804743363e-01,1.000000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,1.333267538052069989e+00,6.593965883981983689e-01,1.200000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,1.638608598526084315e+00,1.001296836762647136e+00,1.100000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,1.474195833447510484e+00,7.997056239257324117e-01,9.000000000000000000e+00,1.968238883631280023e-01
1.700000000000000000e+01,9.999264850853321063e-01,4.666606511551470993e-01,1.300000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,1.333001344700353696e+00,6.406239392715921133e-01,1.000000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,1.327443215751958006e+00,7.293334190387247284e-01,9.000000000000000000e+00,1.962340069728798209e-01
2.000000000000000000e+01,1.118593195322296285e+00,4.732303859360834641e-01,1.000000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,1.336604460170108810e+00,6.642931936593672315e-01,1.100000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,1.389486911059377272e+00,6.457086538642632378e-01,9.000000000000000000e+00,1.956458934577481046e-01
2.300000000000000000e+01,1.159255556178620639e+00,5.276832832488559388e-01,9.000000000000000000e+00,1.954502475642903581e-01
2.400000000000000000e+01,6.259830149441560909e-01,1.589412989802340415e-01,1.150000000000000000e+02,1.952547973167260698e-01
2.500000000000000000e+01,4.491250055597638124e-01,9.923024220775605864e-02,1.380000000000000000e+02,1.950595425194093513e-01
2.600000000000000000e+01,5.076978349679281965e-01,1.089435948564975859e-01,4.300000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,3.120105336870699353e-01,3.373244261954089218e-02,1.920000000000000000e+02,1.946696184939130381e-01
2.800000000000000000e+01,4.890297012271224708e-01,9.293502929898141141e-02,6.200000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,5.498146674723519700e-01,9.341812712668701169e-02,1.800000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,4.474244482830266878e-01,6.235359821867954289e-02,7.000000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,4.682622564135501819e-01,7.509021026957884981e-02,6.200000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,3.514964578680080387e-01,4.104740439995158141e-02,7.100000000000000000e+01,1.936982151519053563e-01
3.300000000000000000e+01,3.860780920865067856e-01,5.263032213094114703e-02,4.100000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,3.067708523852908931e-01,3.198718279427600897e-02,6.400000000000000000e+01,1.933110124198166857e-01
3.500000000000000000e+01,4.377116947195238139e-01,6.012099065819662830e-02,6.900000000000000000e+01,1.931177014073968690e-01
3.600000000000000000e+01,9.301919385351513636e-01,2.401901357140152904e-01,1.100000000000000000e+01,1.929245837059894719e-01
3.700000000000000000e+01,4.114298695798157546e-01,5.889850729852774691e-02,4.800000000000000000e+01,1.927316591222834885e-01
3.800000000000000000e+01,4.796537564054857428e-01,8.098430087803301647e-02,2.700000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,8.209780985397473474e-01,1.678469876073915845e-01,1.200000000000000000e+01,1.923463885356980485e-01
4.000000000000000000e+01,2.339834041772060613e-01,1.784774641429916903e-02,1.620000000000000000e+02,1.921540421471623628e-01
4.100000000000000000e+01,3.750286760473208747e-01,4.826195536621094573e-02,1.000000000000000000e+02,1.919618881050151882e-01
4.200000000000000000e+01,4.846827992469536217e-01,8.017203437271736011e-02,6.500000000000000000e+01,1.917699262169101637e-01
4.300000000000000000e+01,3.357821407787326407e-01,4.362507905083971849e-02,1.200000000000000000e+02,1.915781562906932467e-01
4.400000000000000000e+01,5.207428702053041869e-01,1.179530877959546892e-01,6.700000000000000000e+01,1.913865781344025463e-01
4.500000000000000000e+01,3.295827425856437953e-01,4.399685970023236442e-02,7.000000000000000000e+01,1.911951915562681570e-01
4.600000000000000000e+01,3.067416631765360058e-01,2.719872305174654212e-02,4.600000000000000000e+01,1.910039963647118810e-01
4.700000000000000000e+01,3.746021014725606779e-01,4.782425964759465936e-02,5.500000000000000000e+01,1.908129923683471729e-01
4.800000000000000000e+01,3.708349609863167418e-01,4.882546489295731124e-02,3.900000000000000000e+01,1.906221793759788341e-01
4.900000000000000000e+01,3.080751345748854453e-01,2.712742831041652439e-02,7.500000000000000000e+01,1.904315571966028464e-01
5.000000000000000000e+01,4.868075453915191031e-01,7.563547295093674128e-02,4.800000000000000000e+01,1.902411256394062333e-01
5.100000000000000000e+01,4.035397125428589749e-01,5.909450440374572344e-02,3.600000000000000000e+01,1.900508845137668379e-01
5.200000000000000000e+01,2.980215648545276319e-01,2.665440290724004763e-02,5.700000000000000000e+01,1.898608336292530729e-01
5.300000000000000000e+01,3.124867501723398444e-01,2.826482332922183871e-02,3.100000000000000000e+01,1.896709727956238101e-01
5.400000000000000000e+01,2.716161671135658984e-01,2.153964327219283145e-02,1.300000000000000000e+02,1.894813018228281853e-01
5.500000000000000000e+01,7.347998638304751307e-01,1.980522354608506008e-01,3.800000000000000000e+01,1.892918205210053495e-01
5.600000000000000000e+01,2.816467634012895793e-01,2.386305718245862462e-02,9.600000000000000000e+01,1.891025287004843569e-01
5.700000000000000000e+01,3.128155629070088484e-01,4.605375409836886397e-02,1.460000000000000000e+02,1.889134261717838603e-01
5.800000000000000000e+01,3.070508649714904781e-01,3.426902493337402600e-02,1.400000000000000000e+02,1.887245127456120830e-01
5.900000000000000000e+01,3.720106260444281387e-01,6.375313124080936311e-02,1.110000000000000000e+02,1.885357882328664580e-01
6.000000000000000000e+01,6.835940354177753031e-01,1.606164625433942894e-01,4.000000000000000000e+01,1.883472524446336005e-01
6.100000000000000000e+01,2.113479997815165545e-01,1.381631783169681542e-02,2.930000000000000000e+02,1.881589051921889744e-01
6.200000000000000000e+01,4.562209287551021730e-01,8.523101639083015268e-02,8.500000000000000000e+01,1.879707462869967816e-01
6.300000000000000000e+01,2.981869314665060444e-01,3.862089802737638661e-02,1.170000000000000000e+02,1.877827755407097954e-01
