episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,5.243403644464934565e-01,1.216805856169804745e-01,2.800000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,9.522034522255991007e-01,3.908472512583071601e-01,1.400000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,1.430840352719980890e+00,7.991846068951546922e-01,1.000000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,1.387397278798589539e+00,7.272232703610570503e-01,9.000000000000000000e+00,1.994005997999999946e-01
4.000000000000000000e+00,8.097456728803832382e-01,2.684264744702329342e-01,1.500000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,6.515769482274845759e-01,2.155497263028376964e-01,1.220000000000000000e+02,1.990019980009997969e-01
6.000000000000000000e+00,1.330936069274033295e+00,6.586143255714943523e-01,1.300000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,6.959948679592223852e-01,2.184339921582754696e-01,1.470000000000000000e+02,1.986041930069958050e-01
8.000000000000000000e+00,1.076830269064410484e+00,3.993440874921208583e-01,1.100000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,1.392464659682571604e+00,6.464103335675704942e-01,1.000000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,4.307006887825984842e-01,7.606051383324420601e-02,4.600000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,6.713408524257651333e-01,1.680125238249679798e-01,4.500000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,6.567428691553177655e-01,1.480410133133498729e-01,1.700000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,5.639386840819053948e-01,1.220069911647738009e-01,4.900000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,5.570369437935757118e-01,1.262807313369687656e-01,7.500000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,5.620486444408723248e-01,1.306759911499125737e-01,9.200000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,5.515633726025799266e-01,1.259529661335204442e-01,8.200000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,5.881063259911428753e-01,1.221438737945189507e-01,2.800000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,4.316981762494668806e-01,7.174839234103871921e-02,7.000000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,4.240462877253518559e-01,5.854910255731549107e-02,6.200000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,8.491319678778307400e-01,2.469936101804344752e-01,1.800000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,3.972091797999797724e-01,5.884188343547882422e-02,8.300000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,1.102879824541188603e+00,4.432944061319973872e-01,1.200000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,4.726970765038189248e-01,9.080627947098021679e-02,4.300000000000000000e+01,1.954502475642903581e-01
2.400000000000000000e+01,6.085593263354955873e-01,1.146420381175119046e-01,1.600000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,4.083096026370417464e-01,5.286785658176563346e-02,5.400000000000000000e+01,1.950595425194093513e-01
2.600000000000000000e+01,4.003553067125356635e-01,5.592387420970488382e-02,8.200000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,7.869142957476594757e-01,2.514798663476091045e-01,2.000000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,3.360355329267075697e-01,3.777260149586620513e-02,8.500000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,3.676413023956078829e-01,5.107003734153782448e-02,5.700000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,2.940605003315279187e-01,3.118551517621775265e-02,9.000000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,3.587457139353908420e-01,4.802875148067842215e-02,5.100000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,3.998862184595635694e-01,5.365392293712820115e-02,8.900000000000000000e+01,1.936982151519053563e-01
3.300000000000000000e+01,3.905485231500230303e-01,7.333802222774167545e-02,9.500000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,8.001969067552697767e-01,2.364411968402987674e-01,1.600000000000000000e+01,1.933110124198166857e-01
3.500000000000000000e+01,4.406097517000181485e-01,7.687840342570935459e-02,3.000000000000000000e+01,1.931177014073968690e-01
3.600000000000000000e+01,4.085101516803610333e-01,5.369904760297425361e-02,4.100000000000000000e+01,1.929245837059894719e-01
3.700000000000000000e+01,4.117595578837760506e-01,5.911940736177755118e-02,2.700000000000000000e+01,1.927316591222834885e-01
3.800000000000000000e+01,2.279695669913065215e-01,1.657538862077099356e-02,9.000000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,3.930130960270449836e-01,5.706381665564529831e-02,3.500000000000000000e+01,1.923463885356980485e-01
4.000000000000000000e+01,6.143650068540652542e-01,1.083085623761529531e-01,1.400000000000000000e+01,1.921540421471623628e-01
4.100000000000000000e+01,2.895033192289162560e-01,2.806122360798367008e-02,8.900000000000000000e+01,1.919618881050151882e-01
4.200000000000000000e+01,3.305141859500830281e-01,5.726493886506144743e-02,9.200000000000000000e+01,1.917699262169101637e-01
4.300000000000000000e+01,7.695916996969671686e-01,1.457925072255003007e-01,1.300000000000000000e+01,1.915781562906932467e-01
4.400000000000000000e+01,3.809960527394051777e-01,4.166630787704855843e-02,4.100000000000000000e+01,1.913865781344025463e-01
4.500000000000000000e+01,2.791982476692024817e-01,2.985369129370886790e-02,1.080000000000000000e+02,1.911951915562681570e-01
4.600000000000000000e+01,4.066040054828279904e-01,6.667554345083223644e-02,6.500000000000000000e+01,1.910039963647118810e-01
4.700000000000000000e+01,2.485580692465418906e-01,2.094745182420429397e-02,1.650000000000000000e+02,1.908129923683471729e-01
4.800000000000000000e+01,4.790032014668564875e-01,9.317563830203677566e-02,4.400000000000000000e+01,1.906221793759788341e-01
4.900000000000000000e+01,3.721131628829011939e-01,4.512448060475761358e-02,5.900000000000000000e+01,1.904315571966028464e-01
5.000000000000000000e+01,4.473341243600558181e-01,6.469538235512738156e-02,8.000000000000000000e+01,1.902411256394062333e-01
5.100000000000000000e+01,5.002158092318940152e-01,9.586530210788739292e-02,5.600000000000000000e+01,1.900508845137668379e-01
5.200000000000000000e+01,2.470319981725499769e-01,2.143702076261156525e-02,1.360000000000000000e+02,1.898608336292530729e-01
5.300000000000000000e+01,2.400188525279241814e-01,1.835661044885374474e-02,9.100000000000000000e+01,1.896709727956238101e-01
5.400000000000000000e+01,5.831252669648296916e-01,1.159395498871155505e-01,2.800000000000000000e+01,1.894813018228281853e-01
5.500000000000000000e+01,2.762959078418348313e-01,2.404942267411649612e-02,4.300000000000000000e+01,1.892918205210053495e-01
5.600000000000000000e+01,2.146878220045827790e-01,1.568947381385965567e-02,1.500000000000000000e+02,1.891025287004843569e-01
5.700000000000000000e+01,6.093348428793131655e-01,1.238693213086685257e-01,2.900000000000000000e+01,1.889134261717838603e-01
5.800000000000000000e+01,2.359369191535894417e-01,1.717473986998814886e-02,1.180000000000000000e+02,1.887245127456120830e-01
5.900000000000000000e+01,3.124429073299234694e-01,3.509851867180468349e-02,9.000000000000000000e+01,1.885357882328664580e-01
6.000000000000000000e+01,5.601053842951781991e-01,1.083196393293335835e-01,2.400000000000000000e+01,1.883472524446336005e-01
6.100000000000000000e+01,3.934576280131469872e-01,3.871300633296580890e-02,1.700000000000000000e+01,1.881589051921889744e-01
6.200000000000000000e+01,2.672362395364037968e-01,2.123163306307673803e-02,5.200000000000000000e+01,1.879707462869967816e-01
6.300000000000000000e+01,2.793576223971270811e-01,2.636875576955222122e-02,1.430000000000000000e+02,1.877827755407097954e-01
6.400000000000000000e+01,8.969218197602925047e-01,2.871061629805433113e-01,2.300000000000000000e+01,1.875949927651690829e-01
6.500000000000000000e+01,1.641020491969410744e-01,8.242220891728917892e-03,2.400000000000000000e+02,1.874073977724039219e-01
6.600000000000000000e+01,5.545567802041196925e-01,9.189326757174536009e-02,1.500000000000000000e+01,1.872199903746315230e-01
6.700000000000000000e+01,2.105418455812152478e-01,1.330398347393583515e-02,1.100000000000000000e+02,1.870327703842568912e-01
6.800000000000000000e+01,5.699476889937786783e-01,1.125185206551986283e-01,2.500000000000000000e+01,1.868457376138726311e-01
6.900000000000000000e+01,2.624446168256333589e-01,1.634221801756224890e-02,4.700000000000000000e+01,1.866588918762587535e-01
7.000000000000000000e+01,3.531942806671726776e-01,3.437097149178978267e-02,2.800000000000000000e+01,1.864722329843825077e-01
7.100000000000000000e+01,2.076027797505849148e-01,1.341319077019952240e-02,1.370000000000000000e+02,1.862857607513981328e-01
7.200000000000000000e+01,4.896254025355900596e-01,8.194853157824277812e-02,2.500000000000000000e+01,1.860994749906467460e-01
7.300000000000000000e+01,1.492401234385501707e-01,7.049199130896102033e-03,1.050000000000000000e+02,1.859133755156560930e-01
7.400000000000000000e+01,4.321914368372201665e-01,5.377249023516263160e-02,2.000000000000000000e+01,1.857274621401404369e-01
7.500000000000000000e+01,1.705543197391601318e-01,8.526630157714626401e-03,7.000000000000000000e+01,1.855417346780003085e-01
7.600000000000000000e+01,1.992012754949661069e-01,1.193227247199503405e-02,9.700000000000000000e+01,1.853561929433223121e-01
7.700000000000000000e+01,3.345900854021988668e-01,3.307480253656062963e-02,3.300000000000000000e+01,1.851708367503789865e-01
7.800000000000000000e+01,2.032859701067500080e-01,1.273486016600674717e-02,5.800000000000000000e+01,1.849856659136286108e-01
7.900000000000000000e+01,2.661947829598065862e-01,2.010470690939783825e-02,3.500000000000000000e+01,1.848006802477149824e-01
