episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,5.732414616428597176e-01,1.658687507022621743e-01,3.020000000000000000e+02,2.000000000000000111e-01
1.000000000000000000e+00,5.509815915526683483e-01,1.475960216673538050e-01,7.200000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,1.247544255934992075e+00,5.832844634114446869e-01,1.200000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,1.322790641394555600e+00,6.521287584381162405e-01,1.100000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,1.010911143058559114e+00,3.578803373233339635e-01,1.100000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,8.689190009999812059e-01,2.912467353267256254e-01,1.300000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,4.987728922397151043e-01,1.062421006259260253e-01,1.410000000000000000e+02,1.988029960029988052e-01
7.000000000000000000e+00,4.886926163087539354e-01,1.101729497563028043e-01,1.320000000000000000e+02,1.986041930069958050e-01
8.000000000000000000e+00,6.835999481771941610e-01,1.800654330694442529e-01,3.800000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,4.532673242828020865e-01,7.446970057994976855e-02,4.100000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,5.223861547854208309e-01,1.022142884206201918e-01,2.300000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,7.065414134192071760e-01,1.695901862386654801e-01,1.500000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,3.164503707040347003e-01,4.840688573710462406e-02,6.100000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,5.997765498592165789e-01,1.294475956756051260e-01,5.700000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,1.041103596668575548e+00,3.552164443523480042e-01,1.000000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,9.680904958603646637e-01,2.996532410734996654e-01,1.400000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,5.052699113036671630e-01,8.126266558166431175e-02,2.000000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,5.559958529057076326e-01,9.768560337177564779e-02,1.800000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,2.649295973261515114e-01,3.203812573352862042e-02,1.070000000000000000e+02,1.964304374102901207e-01
1.900000000000000000e+01,4.914612292591210019e-01,7.878102781068765936e-02,2.300000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,9.770567549469368895e-01,2.804350504463355431e-01,1.000000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,3.819486714899687496e-01,4.941107148005528110e-02,4.600000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,3.618754412343844207e-01,4.969549739562358071e-02,1.690000000000000000e+02,1.956458934577481046e-01
2.300000000000000000e+01,9.251447494563042051e-01,3.558224049608693096e-01,1.900000000000000000e+01,1.954502475642903581e-01
2.400000000000000000e+01,7.025551645398125933e-01,1.535149174047709397e-01,1.700000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,3.785400242507961921e-01,4.806426962394032276e-02,8.300000000000000000e+01,1.950595425194093513e-01
