episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,1.199415901773333237e+00,5.551640618668580718e-01,1.400000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,6.302037186415303527e-01,2.319075017083203627e-01,2.300000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,3.804030759300707221e-01,6.879244769392937886e-02,1.800000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,8.334843667879737739e-01,2.846264209586964467e-01,1.400000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,2.214030484856401415e+00,1.858726220699056908e+00,9.000000000000000000e+00,1.992011992001999909e-01
5.000000000000000000e+00,5.581668291406082227e-01,1.390332430130781505e-01,2.600000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,6.257056135782508299e-01,1.598968580263979145e-01,1.300000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,1.836381558424093896e+00,1.277621286749210272e+00,9.000000000000000000e+00,1.986041930069958050e-01
8.000000000000000000e+00,7.914519605377605682e-01,3.000511000395134631e-01,1.600000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,1.375226329874312592e+00,7.053945591515485836e-01,1.100000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,5.392106524152320279e-01,1.466062484046289915e-01,4.900000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,1.612461056862700026e+00,9.747055640088745365e-01,9.000000000000000000e+00,1.978109670659077279e-01
1.200000000000000000e+01,6.417903014845975918e-01,1.866760159816633624e-01,5.700000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,6.326260653559870883e-01,1.992280946607311864e-01,1.390000000000000000e+02,1.974155429427429664e-01
1.400000000000000000e+01,9.305478934572265493e-01,3.420209638962892762e-01,1.000000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,5.934210622037476845e-01,1.742729268806149923e-01,1.770000000000000000e+02,1.970209092724004019e-01
1.600000000000000000e+01,7.472372236838694670e-01,2.388236693498045349e-01,2.110000000000000000e+02,1.968238883631280023e-01
1.700000000000000000e+01,5.787353693311874103e-01,1.258799295673298790e-01,4.200000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,1.497382058508296199e+00,7.279885123335336772e-01,9.000000000000000000e+00,1.964304374102901207e-01
1.900000000000000000e+01,5.332774577509529212e-01,1.120447053308277485e-01,2.160000000000000000e+02,1.962340069728798209e-01
2.000000000000000000e+01,5.578925391293547698e-01,1.319763662400776638e-01,3.600000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,6.452655735418525440e-01,1.488078242346540792e-01,8.500000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,4.850442573704633054e-01,9.740301871339035467e-02,9.200000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,4.311777643571725327e-01,6.853709618250826419e-02,1.170000000000000000e+02,1.954502475642903581e-01
2.400000000000000000e+01,3.694210657322553049e-01,7.753255504565573220e-02,1.810000000000000000e+02,1.952547973167260698e-01
2.500000000000000000e+01,7.233766359692802572e-01,1.651676940700326779e-01,1.400000000000000000e+01,1.950595425194093513e-01
2.600000000000000000e+01,3.454388006707507786e-01,4.263079874655416324e-02,3.120000000000000000e+02,1.948644829768899356e-01
2.700000000000000000e+01,5.606999383518079805e-01,1.027532472504455174e-01,1.500000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,3.878774759553955676e-01,4.515293741061507382e-02,2.400000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,7.953251862151925478e-01,1.618780982726047701e-01,1.200000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,3.360948844810272007e-01,3.339198331126103786e-02,4.400000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,3.828959414020765006e-01,4.520641890070294794e-02,5.900000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,4.214023077700305708e-01,5.826511122184858948e-02,4.000000000000000000e+01,1.936982151519053563e-01
3.300000000000000000e+01,6.773286709533536953e-01,1.235288339484853920e-01,1.700000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,3.274013131506581797e-01,3.725981790291144069e-02,6.700000000000000000e+01,1.933110124198166857e-01
3.500000000000000000e+01,3.437211099763819444e-01,4.118393801924660758e-02,1.300000000000000000e+02,1.931177014073968690e-01
3.600000000000000000e+01,6.171261992377243821e-01,1.587551372596880950e-01,3.700000000000000000e+01,1.929245837059894719e-01
3.700000000000000000e+01,3.928611532982789756e-01,4.481622400751953533e-02,1.240000000000000000e+02,1.927316591222834885e-01
3.800000000000000000e+01,3.309887608471564491e-01,5.307846991637297368e-02,9.900000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,4.231836115968208856e-01,5.306453392562840432e-02,9.700000000000000000e+01,1.923463885356980485e-01
4.000000000000000000e+01,6.247106748516800812e-01,1.602491209673375938e-01,5.600000000000000000e+01,1.921540421471623628e-01
4.100000000000000000e+01,2.499611262100618070e-01,2.917190549778424236e-02,8.300000000000000000e+01,1.919618881050151882e-01
4.200000000000000000e+01,3.373100154443804954e-01,3.503704191114455357e-02,3.000000000000000000e+01,1.917699262169101637e-01
4.300000000000000000e+01,3.001242375413856189e-01,2.537767834385507362e-02,5.100000000000000000e+01,1.915781562906932467e-01
4.400000000000000000e+01,3.533668017364295921e-01,3.737448664358936079e-02,4.800000000000000000e+01,1.913865781344025463e-01
4.500000000000000000e+01,6.243031554612133993e-01,1.249725617188108817e-01,1.400000000000000000e+01,1.911951915562681570e-01
4.600000000000000000e+01,2.720644625215011270e-01,2.125432642523307492e-02,1.000000000000000000e+02,1.910039963647118810e-01
4.700000000000000000e+01,3.352202716096200907e-01,5.505033502048294058e-02,1.030000000000000000e+02,1.908129923683471729e-01
4.800000000000000000e+01,3.362695383294179718e-01,4.794361297168595742e-02,8.500000000000000000e+01,1.906221793759788341e-01
4.900000000000000000e+01,4.360650683128303173e-01,6.522437507839765058e-02,4.900000000000000000e+01,1.904315571966028464e-01
5.000000000000000000e+01,4.817411981191201953e-01,8.813647131911490906e-02,2.800000000000000000e+01,1.902411256394062333e-01
5.100000000000000000e+01,5.147492968861026030e-01,7.127340502289811197e-02,1.300000000000000000e+01,1.900508845137668379e-01
5.200000000000000000e+01,2.488665247168208028e-01,1.756056126359643171e-02,1.720000000000000000e+02,1.898608336292530729e-01
5.300000000000000000e+01,9.632635925902762741e-01,3.721717757998988518e-01,1.800000000000000000e+01,1.896709727956238101e-01
5.400000000000000000e+01,2.388806561441054466e-01,1.735032871670975224e-02,7.200000000000000000e+01,1.894813018228281853e-01
5.500000000000000000e+01,4.082854113359065673e-01,5.684542657856508918e-02,3.400000000000000000e+01,1.892918205210053495e-01
5.600000000000000000e+01,1.955805515646288351e-01,1.190075359628563027e-02,1.370000000000000000e+02,1.891025287004843569e-01
5.700000000000000000e+01,7.016158753112422541e-01,1.881280571575991156e-01,1.700000000000000000e+01,1.889134261717838603e-01
5.800000000000000000e+01,2.290137406854954316e-01,1.657540364500214441e-02,7.900000000000000000e+01,1.887245127456120830e-01
5.900000000000000000e+01,3.079536553555668466e-01,4.176562007856482461e-02,6.800000000000000000e+01,1.885357882328664580e-01
6.000000000000000000e+01,2.282093637901514704e-01,2.089125286888783573e-02,1.080000000000000000e+02,1.883472524446336005e-01
6.100000000000000000e+01,2.641879692912245670e-01,2.646170037201589498e-02,9.300000000000000000e+01,1.881589051921889744e-01
6.200000000000000000e+01,5.207924918972254291e-01,9.843177023332147502e-02,1.900000000000000000e+01,1.879707462869967816e-01
6.300000000000000000e+01,4.480114101825593553e-01,4.886586222181836525e-02,1.500000000000000000e+01,1.877827755407097954e-01
6.400000000000000000e+01,1.805420013516176592e-01,9.273258702837763184e-03,2.170000000000000000e+02,1.875949927651690829e-01
6.500000000000000000e+01,3.953272391082055526e-01,5.443848708251486368e-02,7.400000000000000000e+01,1.874073977724039219e-01
6.600000000000000000e+01,6.064842655673730043e-01,1.366219200295859248e-01,2.200000000000000000e+01,1.872199903746315230e-01
6.700000000000000000e+01,3.273951662381897054e-01,2.572856481026539188e-02,2.400000000000000000e+01,1.870327703842568912e-01
6.800000000000000000e+01,1.911048655383210670e-01,1.011955814280149531e-02,1.210000000000000000e+02,1.868457376138726311e-01
6.900000000000000000e+01,3.478110220263526120e-01,5.290006303696753731e-02,8.600000000000000000e+01,1.866588918762587535e-01
7.000000000000000000e+01,2.490650824463625512e-01,3.636484115189700383e-02,1.240000000000000000e+02,1.864722329843825077e-01
7.100000000000000000e+01,2.194579964031111718e-01,1.962821085154519210e-02,1.340000000000000000e+02,1.862857607513981328e-01
7.200000000000000000e+01,3.897814638100529638e-01,5.517385466845738107e-02,5.200000000000000000e+01,1.860994749906467460e-01
7.300000000000000000e+01,2.500725547958378425e-01,2.336150109324628549e-02,1.150000000000000000e+02,1.859133755156560930e-01
7.400000000000000000e+01,3.077851037670479850e-01,4.304840899198620480e-02,8.200000000000000000e+01,1.857274621401404369e-01
7.500000000000000000e+01,1.994052555898699897e-01,2.206796052904379593e-02,1.000000000000000000e+02,1.855417346780003085e-01
7.600000000000000000e+01,3.009621449588017472e-01,2.641268277205436818e-02,5.300000000000000000e+01,1.853561929433223121e-01
7.700000000000000000e+01,1.835156913807202417e-01,1.102954756189885276e-02,1.440000000000000000e+02,1.851708367503789865e-01
7.800000000000000000e+01,3.604809470687868611e-01,5.244281145753911660e-02,6.200000000000000000e+01,1.849856659136286108e-01
7.900000000000000000e+01,4.151969369258907694e-01,6.214551642330442410e-02,6.600000000000000000e+01,1.848006802477149824e-01
8.000000000000000000e+01,4.942954865269470477e-01,1.027554021811985518e-01,4.800000000000000000e+01,1.846158795674672781e-01
8.100000000000000000e+01,3.013721554507980960e-01,3.348042355195191000e-02,7.700000000000000000e+01,1.844312636878998046e-01
8.200000000000000000e+01,3.268166182515820362e-01,4.892427102650776655e-02,7.000000000000000000e+01,1.842468324242119149e-01
8.300000000000000000e+01,2.176859282217243619e-01,2.014231297070755503e-02,9.600000000000000000e+01,1.840625855917877030e-01
8.400000000000000000e+01,3.036263406310819590e-01,3.376750440042463469e-02,4.300000000000000000e+01,1.838785230061959208e-01
8.500000000000000000e+01,2.517407981144951790e-01,1.934919063574500400e-02,6.300000000000000000e+01,1.836946444831897285e-01
8.600000000000000000e+01,4.600954316513534703e-01,8.046227701751963723e-02,3.500000000000000000e+01,1.835109498387065274e-01
8.700000000000000000e+01,1.691752088063586401e-01,1.017514943648943453e-02,1.420000000000000000e+02,1.833274388888678219e-01
8.800000000000000000e+01,1.956496951477487978e-01,2.222932618792021822e-02,9.900000000000000000e+01,1.831441114499789413e-01
8.900000000000000000e+01,2.983090129724065842e-01,3.449477020833518343e-02,3.700000000000000000e+01,1.829609673385289570e-01
9.000000000000000000e+01,1.698076299699789737e-01,8.625260827210518011e-03,9.800000000000000000e+01,1.827780063711904324e-01
9.100000000000000000e+01,2.926372754734764547e-01,2.944153636639873853e-02,6.100000000000000000e+01,1.825952283648192287e-01
9.200000000000000000e+01,3.134624239597597617e-01,3.598468521370955242e-02,5.800000000000000000e+01,1.824126331364544218e-01
9.300000000000000000e+01,3.766033276042705102e-01,5.211861011118679166e-02,4.600000000000000000e+01,1.822302205033179689e-01
9.400000000000000000e+01,1.978850471636040831e-01,1.512200436653111414e-02,9.600000000000000000e+01,1.820479902828146535e-01
9.500000000000000000e+01,2.989990512125466071e-01,2.949505379086064111e-02,4.900000000000000000e+01,1.818659422925318347e-01
9.600000000000000000e+01,3.173586455428596964e-01,3.330215630155188011e-02,3.800000000000000000e+01,1.816840763502393097e-01
9.700000000000000000e+01,3.117839223426854267e-01,2.848256828791951092e-02,4.500000000000000000e+01,1.815023922738890627e-01
9.800000000000000000e+01,2.092046625776861069e-01,1.537306046918073509e-02,1.040000000000000000e+02,1.813208898816151826e-01
9.900000000000000000e+01,4.400780255791827411e-01,7.375506919878917211e-02,3.000000000000000000e+01,1.811395689917335572e-01
1.000000000000000000e+02,1.837031584230038039e-01,9.009336751108107735e-03,9.800000000000000000e+01,1.809584294227418177e-01
1.010000000000000000e+02,3.111562971492525254e-01,3.905266197552103441e-02,6.200000000000000000e+01,1.807774709933190893e-01
1.020000000000000000e+02,1.988095364146547361e-01,1.549347722674952917e-02,1.490000000000000000e+02,1.805966935223257686e-01
1.030000000000000000e+02,3.772328159769183231e-01,6.766969303120970447e-02,5.400000000000000000e+01,1.804160968288034406e-01
1.040000000000000000e+02,2.825046713630600115e-01,2.660683089125490119e-02,5.100000000000000000e+01,1.802356807319746290e-01
1.050000000000000000e+02,1.543214737460313346e-01,9.101524865659568059e-03,1.180000000000000000e+02,1.800554450512426574e-01
1.060000000000000000e+02,2.067910583068707786e-01,1.710125010683935520e-02,8.400000000000000000e+01,1.798753896061914270e-01
1.070000000000000000e+02,3.263240079200160904e-01,3.516670152009630096e-02,3.500000000000000000e+01,1.796955142165852226e-01
