episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,1.113277682132519431e+00,5.248177168199252840e-01,1.100000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,8.253500611992169445e-01,3.283440732860920530e-01,2.100000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,7.295774272045639774e-01,3.041608722076785676e-01,1.400000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,1.713394215832314771e+00,1.193540350215591683e+00,1.200000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,1.241349517636919142e+00,6.623095206654454614e-01,1.000000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,4.996873604472281682e-01,1.293168495391376349e-01,9.400000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,6.870892090232715299e-01,2.403309337590149863e-01,4.000000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,4.893142653156188349e-01,1.223146200068155887e-01,1.530000000000000000e+02,1.986041930069958050e-01
8.000000000000000000e+00,6.467362924381513389e-01,2.185998818679291966e-01,1.850000000000000000e+02,1.984055888139888146e-01
9.000000000000000000e+00,7.335769551787528764e-01,2.256606492753074344e-01,6.000000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,8.788120974389914686e-01,2.897076961439415399e-01,1.200000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,8.832716473435008320e-01,2.727300172636186737e-01,1.700000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,9.071792704104714167e-01,2.806216926299445191e-01,1.200000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,4.257272227068337189e-01,8.616486807959555794e-02,5.100000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,5.414774645433007016e-01,1.298663989854839662e-01,6.900000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,3.950060335394439681e-01,6.820514389358402207e-02,1.140000000000000000e+02,1.970209092724004019e-01
1.600000000000000000e+01,4.199421156541564004e-01,7.637616602208774363e-02,7.400000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,4.762731757725413573e-01,8.531502710533665768e-02,4.100000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,3.798158045600120714e-01,5.240409548530065159e-02,5.900000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,3.762139367334490503e-01,5.765104493538745351e-02,7.700000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,4.506533636329304593e-01,8.211316646562197286e-02,7.600000000000000000e+01,1.960377729659069368e-01
