episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,6.060031281694926442e-01,1.769496553862886234e-01,1.170000000000000000e+02,2.000000000000000111e-01
1.000000000000000000e+00,7.508312208355349959e-01,2.249069552438310304e-01,2.000000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,8.473691393513467229e-01,3.225633127184474036e-01,3.800000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,7.774695962557470752e-01,2.302159874400876161e-01,1.300000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,7.377595929781624040e-01,2.547900084667400478e-01,6.700000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,5.236560866978202666e-01,1.239133555745175891e-01,6.100000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,3.482153504468349370e-01,5.847173480659018791e-02,1.070000000000000000e+02,1.988029960029988052e-01
7.000000000000000000e+00,8.790708205091575245e-01,3.268588205043795325e-01,1.300000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,7.246890298312013146e-01,2.384133014286099750e-01,2.000000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,4.377053824485848121e-01,8.093042048174954595e-02,1.110000000000000000e+02,1.982071832251748322e-01
1.000000000000000000e+01,7.147530084846897003e-01,2.126082600891709418e-01,1.800000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,5.612740321778821873e-01,1.252253214502225542e-01,4.100000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,5.848459046641690806e-01,1.384471944591448012e-01,5.700000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,3.538114599192553333e-01,5.618949409634942799e-02,1.180000000000000000e+02,1.974155429427429664e-01
1.400000000000000000e+01,1.136523776808295416e+00,4.415118131920102718e-01,1.000000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,1.031944402821131312e+00,3.182663636324655210e-01,1.200000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,2.983075745243128907e-01,3.018732091286729577e-02,4.400000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,4.575469021598643216e-01,8.175983047647142343e-02,1.130000000000000000e+02,1.966270644747648844e-01
1.800000000000000000e+01,4.710177350499993310e-01,1.131685621209537057e-01,1.170000000000000000e+02,1.964304374102901207e-01
1.900000000000000000e+01,4.599833265002635785e-01,7.630246551049819914e-02,8.800000000000000000e+01,1.962340069728798209e-01
