episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,1.273165491295868312e+00,7.282362339442873811e-01,1.200000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,6.151749192670342703e-01,2.099511652002995499e-01,1.500000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,7.651853403881790916e-01,2.817738697599999620e-01,1.000000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,7.265747955284879156e-01,2.601338942028612045e-01,1.200000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,7.090719833952852102e-01,2.526170191851361824e-01,1.000000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,8.969257220064120739e-01,4.065631441715533145e-01,1.000000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,8.589704078240498752e-01,3.713960066045760566e-01,9.000000000000000000e+00,1.988029960029988052e-01
7.000000000000000000e+00,8.553846204294704991e-01,3.755482744161786623e-01,9.000000000000000000e+00,1.986041930069958050e-01
8.000000000000000000e+00,7.982060085434372620e-01,3.333352778733702504e-01,8.000000000000000000e+00,1.984055888139888146e-01
9.000000000000000000e+00,9.155080638184980302e-01,4.142440038891017084e-01,1.000000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,9.062514729218718035e-01,4.138580404482395947e-01,1.000000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,9.224510651529858052e-01,4.252525062444488801e-01,1.000000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,8.691488175652826165e-01,3.872403688148579048e-01,9.000000000000000000e+00,1.976131560988418079e-01
1.300000000000000000e+01,9.015749105805497265e-01,4.053036282238552390e-01,1.000000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,9.230802131103086339e-01,4.221939663265149578e-01,1.000000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,8.637872680830339656e-01,3.784577992048964168e-01,9.000000000000000000e+00,1.970209092724004019e-01
