episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,2.087466732206263664e+00,1.717120334999412634e+00,9.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,6.085902209090342518e-01,1.899773999152115089e-01,7.100000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,1.018460483257501048e+00,5.042198972264523293e-01,1.200000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,8.025241234052445938e-01,3.197517882550018342e-01,9.100000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,1.148894482572756726e+00,6.044956216863697218e-01,8.200000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,7.647609709098616149e-01,2.878061115979647644e-01,1.380000000000000000e+02,1.990019980009997969e-01
6.000000000000000000e+00,7.551581958438269293e-01,2.466115368358795246e-01,5.800000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,5.198521132711165782e-01,1.225678162714384511e-01,5.700000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,1.239739456356661051e+00,5.830342203619275354e-01,9.000000000000000000e+00,1.984055888139888146e-01
9.000000000000000000e+00,8.002113071887620999e-01,2.507521828123517316e-01,3.600000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,1.350846432094159111e+00,6.561436106380271749e-01,1.000000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,4.289025181341855064e-01,8.611335600686986780e-02,3.100000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,8.159421506216651965e-01,2.332182423886473843e-01,1.100000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,4.117365136729683739e-01,7.548813280548889726e-02,1.310000000000000000e+02,1.974155429427429664e-01
1.400000000000000000e+01,5.082608684311572533e-01,1.189146226573332688e-01,8.200000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,5.569742980168440605e-01,1.475756299832650387e-01,2.300000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,3.003886461315214973e-01,3.416516653324565278e-02,5.400000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,6.543640862436572725e-01,1.579882433022492816e-01,4.500000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,4.919851566848850721e-01,8.884646522431083326e-02,4.900000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,5.479275204265017241e-01,1.087677766236476717e-01,3.900000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,3.751035715072904009e-01,5.138459792837671292e-02,4.800000000000000000e+01,1.960377729659069368e-01
