episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,6.010720542927657783e-01,1.775193055109391682e-01,1.600000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,7.999298480194778627e-01,3.049559971872441433e-01,1.600000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,4.208997777619705172e-01,1.008572952664117395e-01,7.200000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,5.045882970991503180e-01,1.224751483307793820e-01,8.800000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,7.596880511703903993e-01,3.181364677800357921e-01,6.500000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,6.557243137340571515e-01,2.473446500943292381e-01,1.220000000000000000e+02,1.990019980009997969e-01
6.000000000000000000e+00,1.610681878045291171e+00,1.027320932224279559e+00,9.000000000000000000e+00,1.988029960029988052e-01
7.000000000000000000e+00,5.560223775615581454e-01,1.530414107072081698e-01,1.230000000000000000e+02,1.986041930069958050e-01
8.000000000000000000e+00,7.708719058490235421e-01,2.756097801965744498e-01,8.300000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,6.299728598011584690e-01,1.836377287645588885e-01,4.900000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,8.841284194875151936e-01,2.977289333491264789e-01,1.400000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,1.398934072714419496e+00,7.695251428665871307e-01,9.000000000000000000e+00,1.978109670659077279e-01
1.200000000000000000e+01,9.870676786878550546e-01,4.005052761905326109e-01,1.400000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,1.022602365599119656e+00,3.731708740468111518e-01,1.500000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,6.458726210280575364e-01,1.791850550794106267e-01,6.600000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,6.918108017070352389e-01,1.830106996848299139e-01,1.900000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,1.141651245684093929e+00,4.734782721632082580e-01,1.100000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,8.828556059741586859e-01,3.002114915934035455e-01,1.500000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,9.589980417249850397e-01,3.265041449519032191e-01,1.600000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,1.358798192565775942e+00,6.881095442390550154e-01,1.100000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,1.250945786310189378e+00,5.990697193333451853e-01,1.200000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,1.124610439904081272e+00,4.282247885889768346e-01,1.300000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,4.534702976745096925e-01,7.757999636872042748e-02,8.800000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,4.770680882287245406e-01,1.067837948725645081e-01,2.590000000000000000e+02,1.954502475642903581e-01
2.400000000000000000e+01,7.634119908619854122e-01,2.448995511443637640e-01,5.000000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,6.814590136531342157e-01,1.478098257952686345e-01,1.500000000000000000e+01,1.950595425194093513e-01
2.600000000000000000e+01,4.846904099384561904e-01,8.482473100627814511e-02,6.100000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,6.080984473482451413e-01,1.473542517737243818e-01,3.400000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,1.135437018283298904e+00,3.724652547075814057e-01,1.300000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,3.611411531374660311e-01,4.794555261158271048e-02,6.700000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,4.368748410143695748e-01,7.445889549419817954e-02,5.200000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,7.652907092835258274e-01,1.714209587219820419e-01,1.300000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,4.982815242375813747e-01,8.061559443562475724e-02,2.200000000000000000e+01,1.936982151519053563e-01
3.300000000000000000e+01,4.025585966088987555e-01,5.174255665656283393e-02,2.700000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,6.757178459010892979e-01,1.408853215370294842e-01,1.600000000000000000e+01,1.933110124198166857e-01
3.500000000000000000e+01,5.149624518384597893e-01,8.902168947323842174e-02,2.700000000000000000e+01,1.931177014073968690e-01
3.600000000000000000e+01,4.309157728255380571e-01,5.869794266081172773e-02,2.900000000000000000e+01,1.929245837059894719e-01
3.700000000000000000e+01,4.884319843958241925e-01,8.262869270666037269e-02,4.800000000000000000e+01,1.927316591222834885e-01
3.800000000000000000e+01,4.884403155510897987e-01,7.307799168739106954e-02,2.000000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,5.033471068781456559e-01,7.073109715350196780e-02,2.000000000000000000e+01,1.923463885356980485e-01
4.000000000000000000e+01,4.154836912438077956e-01,6.243178953163992795e-02,4.400000000000000000e+01,1.921540421471623628e-01
4.100000000000000000e+01,3.771836804110221264e-01,5.105073713647458739e-02,8.300000000000000000e+01,1.919618881050151882e-01
4.200000000000000000e+01,5.046197654531612287e-01,9.503762105275370686e-02,4.000000000000000000e+01,1.917699262169101637e-01
4.300000000000000000e+01,2.903244681861309462e-01,3.275261321027457539e-02,1.160000000000000000e+02,1.915781562906932467e-01
4.400000000000000000e+01,3.058119428702196219e-01,3.743303725436125662e-02,2.140000000000000000e+02,1.913865781344025463e-01
4.500000000000000000e+01,4.802551177331733645e-01,9.545664328931678655e-02,5.800000000000000000e+01,1.911951915562681570e-01
4.600000000000000000e+01,3.317168545383117340e-01,5.861955552734486596e-02,5.500000000000000000e+01,1.910039963647118810e-01
4.700000000000000000e+01,6.445098535679500973e-01,1.062499997417193365e-01,1.700000000000000000e+01,1.908129923683471729e-01
4.800000000000000000e+01,3.562892463126407505e-01,4.155982811941545674e-02,3.700000000000000000e+01,1.906221793759788341e-01
4.900000000000000000e+01,2.745425756988850163e-01,2.749818591416305219e-02,7.900000000000000000e+01,1.904315571966028464e-01
5.000000000000000000e+01,3.564595157955720017e-01,4.838503743371922600e-02,2.560000000000000000e+02,1.902411256394062333e-01
5.100000000000000000e+01,5.597033005183396082e-01,1.261162974983160712e-01,3.900000000000000000e+01,1.900508845137668379e-01
5.200000000000000000e+01,3.690150441413578841e-01,4.505609738941244308e-02,2.700000000000000000e+01,1.898608336292530729e-01
5.300000000000000000e+01,3.465920478784460523e-01,3.870512873809300869e-02,7.400000000000000000e+01,1.896709727956238101e-01
5.400000000000000000e+01,6.055523942654539304e-01,1.581371891540115371e-01,2.900000000000000000e+01,1.894813018228281853e-01
5.500000000000000000e+01,6.157367869147274408e-01,8.776207038618945300e-02,1.500000000000000000e+01,1.892918205210053495e-01
5.600000000000000000e+01,2.524883996614779025e-01,2.045557900911040491e-02,1.060000000000000000e+02,1.891025287004843569e-01
5.700000000000000000e+01,3.936493829397684219e-01,5.186689253433476865e-02,5.700000000000000000e+01,1.889134261717838603e-01
5.800000000000000000e+01,5.892896998665526631e-01,1.096786896776107412e-01,1.700000000000000000e+01,1.887245127456120830e-01
5.900000000000000000e+01,5.261348637932630190e-01,8.691668718332636046e-02,2.200000000000000000e+01,1.885357882328664580e-01
6.000000000000000000e+01,3.652029966339001565e-01,3.711525242079309617e-02,2.300000000000000000e+01,1.883472524446336005e-01
