episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,1.168891346267605824e+00,6.168059202434510446e-01,9.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,9.108307447973056359e-01,4.255238647398796314e-01,9.000000000000000000e+00,1.998000000000000054e-01
2.000000000000000000e+00,6.747938787641066805e-01,2.274244748854348519e-01,9.000000000000000000e+00,1.996002000000000054e-01
3.000000000000000000e+00,9.890946505335915795e-01,4.718474268572503405e-01,1.100000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,8.269009163920026939e-01,3.567957951934204175e-01,8.000000000000000000e+00,1.992011992001999909e-01
5.000000000000000000e+00,8.576938365810047316e-01,3.556937463021495605e-01,9.000000000000000000e+00,1.990019980009997969e-01
6.000000000000000000e+00,8.681070792784166823e-01,3.675178184592831077e-01,9.000000000000000000e+00,1.988029960029988052e-01
7.000000000000000000e+00,9.224945239474429126e-01,4.036104766785629794e-01,1.000000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,8.762759574455309952e-01,3.758776439509358136e-01,9.000000000000000000e+00,1.984055888139888146e-01
9.000000000000000000e+00,8.554801027950700298e-01,3.603034818177781040e-01,9.000000000000000000e+00,1.982071832251748322e-01
1.000000000000000000e+01,9.133988002552158036e-01,3.963900245372632969e-01,1.000000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,9.324897140740038282e-01,4.131848608133926737e-01,1.000000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,9.203420685751708685e-01,3.997397305211445317e-01,1.000000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,9.381864410122322528e-01,4.137785925020097122e-01,1.000000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,8.881964442222337608e-01,3.796696138745889182e-01,9.000000000000000000e+00,1.972181273998002138e-01
1.500000000000000000e+01,9.299742391608756265e-01,4.034679182262203012e-01,1.000000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,8.710232410113838419e-01,3.611372709504523937e-01,9.000000000000000000e+00,1.968238883631280023e-01
1.700000000000000000e+01,8.720808822373276037e-01,3.623652007207462389e-01,9.000000000000000000e+00,1.966270644747648844e-01
