episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,1.313154949647453940e+00,6.902700111553828899e-01,1.300000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,3.765280186832253850e-01,8.468163834741355978e-02,1.140000000000000000e+02,1.998000000000000054e-01
2.000000000000000000e+00,1.539109804879559507e+00,8.598236716178181416e-01,1.200000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,6.999212686399549632e-01,2.088555491831799171e-01,1.670000000000000000e+02,1.994005997999999946e-01
4.000000000000000000e+00,1.715461019617998684e+00,1.076549648116053026e+00,1.300000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,1.195924231190776510e+00,4.862853205803982504e-01,1.200000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,1.211149522383074162e+00,4.746802122815024783e-01,1.100000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,4.278226447204560579e-01,7.420790953850145422e-02,6.400000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,4.735071617658839771e-01,9.561077151292186882e-02,4.400000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,8.062869479760758074e-01,2.022812054237203561e-01,1.500000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,5.019797619904899921e-01,1.042517565027517440e-01,7.300000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,9.481374984873646161e-01,2.756577556049077948e-01,1.100000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,4.201338110592233721e-01,6.827318857345661407e-02,1.470000000000000000e+02,1.976131560988418079e-01
1.300000000000000000e+01,1.352558982380562380e+00,6.759859740048471677e-01,1.600000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,6.042150338662186648e-01,1.212843129606327452e-01,1.800000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,6.155633153542722225e-01,1.215328725037995578e-01,2.000000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,5.490384761623301468e-01,1.071932250862648039e-01,6.400000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,3.929898931454110511e-01,6.490867657863867712e-02,1.100000000000000000e+02,1.966270644747648844e-01
1.800000000000000000e+01,4.476049363005095705e-01,7.078012381664089414e-02,8.700000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,5.717694639973827098e-01,1.092287617063753130e-01,5.600000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,3.863544850281244725e-01,5.624289387849412680e-02,9.500000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,4.883226485430564034e-01,7.456208719712660582e-02,1.900000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,7.980464019072783799e-01,1.748756342963988797e-01,1.200000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,4.947447931121554676e-01,8.077752517511158081e-02,5.000000000000000000e+01,1.954502475642903581e-01
2.400000000000000000e+01,6.344030556611952587e-01,1.376176684312552523e-01,1.500000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,4.105219410804742952e-01,5.873712832696530162e-02,3.000000000000000000e+01,1.950595425194093513e-01
2.600000000000000000e+01,5.011352322734488052e-01,7.370072697279950180e-02,1.600000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,3.109303995561019662e-01,3.323959679155671920e-02,1.290000000000000000e+02,1.946696184939130381e-01
2.800000000000000000e+01,4.029018334946666280e-01,7.714573429975968288e-02,1.070000000000000000e+02,1.944749488754191347e-01
2.900000000000000000e+01,3.300513714041037883e-01,4.660326161251385907e-02,8.200000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,4.568788592651826241e-01,9.095849983148504569e-02,5.900000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,6.171503601549310769e-01,1.554723793585814917e-01,1.700000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,1.834723814469677028e-01,1.102466876633529519e-02,6.300000000000000000e+01,1.936982151519053563e-01
3.300000000000000000e+01,4.173502140940153482e-01,5.607125109559687320e-02,2.200000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,6.892446449417176657e-01,1.163371817916626222e-01,1.100000000000000000e+01,1.933110124198166857e-01
3.500000000000000000e+01,2.626758561698813166e-01,2.256923232810389632e-02,7.200000000000000000e+01,1.931177014073968690e-01
3.600000000000000000e+01,4.415881869196213727e-01,7.762380530139852131e-02,3.200000000000000000e+01,1.929245837059894719e-01
3.700000000000000000e+01,3.801797920113089702e-01,4.498296089790557173e-02,4.600000000000000000e+01,1.927316591222834885e-01
3.800000000000000000e+01,4.682109547113919579e-01,6.916165499994123000e-02,4.600000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,2.331439758578281174e-01,2.298658850044871596e-02,1.180000000000000000e+02,1.923463885356980485e-01
4.000000000000000000e+01,3.015962075118911456e-01,3.417796086501202063e-02,1.140000000000000000e+02,1.921540421471623628e-01
4.100000000000000000e+01,4.744603585873287677e-01,1.111738124335664574e-01,7.300000000000000000e+01,1.919618881050151882e-01
4.200000000000000000e+01,3.139420054564361906e-01,5.406394138645595482e-02,9.700000000000000000e+01,1.917699262169101637e-01
4.300000000000000000e+01,5.758839287061450207e-01,1.225531272230547808e-01,1.700000000000000000e+01,1.915781562906932467e-01
4.400000000000000000e+01,2.985019585586308200e-01,2.784247104844669862e-02,4.300000000000000000e+01,1.913865781344025463e-01
4.500000000000000000e+01,3.111232815343423219e-01,3.533816889225866592e-02,7.700000000000000000e+01,1.911951915562681570e-01
4.600000000000000000e+01,4.215804973342980877e-01,7.929005352465703926e-02,6.100000000000000000e+01,1.910039963647118810e-01
4.700000000000000000e+01,5.317944283502038516e-01,1.181365647160138449e-01,2.200000000000000000e+01,1.908129923683471729e-01
4.800000000000000000e+01,2.355736071887340466e-01,1.771338441629357469e-02,1.010000000000000000e+02,1.906221793759788341e-01
4.900000000000000000e+01,3.132108017285795687e-01,4.388409972667230846e-02,9.200000000000000000e+01,1.904315571966028464e-01
5.000000000000000000e+01,2.895713502142709395e-01,3.220958011611359251e-02,5.200000000000000000e+01,1.902411256394062333e-01
5.100000000000000000e+01,2.410824772289701379e-01,2.220491858296861840e-02,1.540000000000000000e+02,1.900508845137668379e-01
5.200000000000000000e+01,2.625507164600194288e-01,3.522108901994794317e-02,1.490000000000000000e+02,1.898608336292530729e-01
5.300000000000000000e+01,2.633721491196480136e-01,4.631517624819352086e-02,1.410000000000000000e+02,1.896709727956238101e-01
5.400000000000000000e+01,3.378775628878328829e-01,4.388742875673846272e-02,3.500000000000000000e+01,1.894813018228281853e-01
5.500000000000000000e+01,2.589110049402014724e-01,2.697913660086304066e-02,7.400000000000000000e+01,1.892918205210053495e-01
5.600000000000000000e+01,2.665853188457749101e-01,3.682310739197561245e-02,8.300000000000000000e+01,1.891025287004843569e-01
5.700000000000000000e+01,3.691565168865618696e-01,5.650339783759809886e-02,4.600000000000000000e+01,1.889134261717838603e-01
5.800000000000000000e+01,3.119765404684635146e-01,3.832679951670395213e-02,8.600000000000000000e+01,1.887245127456120830e-01
5.900000000000000000e+01,5.431765568703503799e-01,1.281826319943051296e-01,4.100000000000000000e+01,1.885357882328664580e-01
6.000000000000000000e+01,2.068666689971171424e-01,1.540567099972101929e-02,1.660000000000000000e+02,1.883472524446336005e-01
6.100000000000000000e+01,4.249738604308331280e-01,9.726423774720166504e-02,5.300000000000000000e+01,1.881589051921889744e-01
6.200000000000000000e+01,2.646293143537369885e-01,2.824741010570913993e-02,7.600000000000000000e+01,1.879707462869967816e-01
6.300000000000000000e+01,3.885442236396333682e-01,6.810280806432923717e-02,5.800000000000000000e+01,1.877827755407097954e-01
6.400000000000000000e+01,3.390191859605503066e-01,4.763256986762605394e-02,8.400000000000000000e+01,1.875949927651690829e-01
6.500000000000000000e+01,2.772679930724410435e-01,4.376020516901509005e-02,1.370000000000000000e+02,1.874073977724039219e-01
6.600000000000000000e+01,5.619387914848565924e-01,1.465457161694062038e-01,2.600000000000000000e+01,1.872199903746315230e-01
6.700000000000000000e+01,1.981341292775839480e-01,1.288567006760769212e-02,8.800000000000000000e+01,1.870327703842568912e-01
6.800000000000000000e+01,4.023381633881156771e-01,6.739334913433064900e-02,2.600000000000000000e+01,1.868457376138726311e-01
6.900000000000000000e+01,2.787531309584315720e-01,2.239086895042650613e-02,4.100000000000000000e+01,1.866588918762587535e-01
7.000000000000000000e+01,2.850058472259523468e-01,2.803877240766112014e-02,9.400000000000000000e+01,1.864722329843825077e-01
7.100000000000000000e+01,2.643636819034358432e-01,4.826303326103114494e-02,1.600000000000000000e+02,1.862857607513981328e-01
7.200000000000000000e+01,7.510994853367252144e-01,2.349079181969849772e-01,1.500000000000000000e+01,1.860994749906467460e-01
7.300000000000000000e+01,2.094153204628947107e-01,1.383809613290772414e-02,1.470000000000000000e+02,1.859133755156560930e-01
7.400000000000000000e+01,3.825160183583982687e-01,8.627343606381124297e-02,8.500000000000000000e+01,1.857274621401404369e-01
7.500000000000000000e+01,3.148151736347388763e-01,4.782144688663732268e-02,5.200000000000000000e+01,1.855417346780003085e-01
7.600000000000000000e+01,3.396896488019245930e-01,4.349705928575428593e-02,4.800000000000000000e+01,1.853561929433223121e-01
7.700000000000000000e+01,5.252063456233146965e-01,9.818283017326392970e-02,2.700000000000000000e+01,1.851708367503789865e-01
7.800000000000000000e+01,2.511557775740180243e-01,2.131777574350796761e-02,5.300000000000000000e+01,1.849856659136286108e-01
7.900000000000000000e+01,2.755176803873990443e-01,2.963067253065508264e-02,7.700000000000000000e+01,1.848006802477149824e-01
8.000000000000000000e+01,6.526461597049326713e-01,1.811038784498608667e-01,1.900000000000000000e+01,1.846158795674672781e-01
8.100000000000000000e+01,2.881521428394228646e-01,2.704439022931258430e-02,3.400000000000000000e+01,1.844312636878998046e-01
8.200000000000000000e+01,2.213160485454845061e-01,2.045178243640188159e-02,8.100000000000000000e+01,1.842468324242119149e-01
8.300000000000000000e+01,2.488843590618764201e-01,2.510312317708371377e-02,1.310000000000000000e+02,1.840625855917877030e-01
8.400000000000000000e+01,6.593262770628735003e-01,2.055633853743825401e-01,2.500000000000000000e+01,1.838785230061959208e-01
8.500000000000000000e+01,2.706052864138954184e-01,2.216768581811105754e-02,3.600000000000000000e+01,1.836946444831897285e-01
8.600000000000000000e+01,2.451110091063697649e-01,2.216770086552093816e-02,4.200000000000000000e+01,1.835109498387065274e-01
8.700000000000000000e+01,1.458550985365391073e-01,8.076758122262854209e-03,5.700000000000000000e+01,1.833274388888678219e-01
8.800000000000000000e+01,2.396537132696432426e-01,2.258377617322133296e-02,4.000000000000000000e+01,1.831441114499789413e-01
8.900000000000000000e+01,1.950058078301742659e-01,1.298615541501004639e-02,9.900000000000000000e+01,1.829609673385289570e-01
9.000000000000000000e+01,5.221014471693515846e-01,1.087354201490123018e-01,2.100000000000000000e+01,1.827780063711904324e-01
9.100000000000000000e+01,1.966410977307795904e-01,1.299014122585192069e-02,8.300000000000000000e+01,1.825952283648192287e-01
9.200000000000000000e+01,1.623514225039289216e-01,1.123642256573320272e-02,1.470000000000000000e+02,1.824126331364544218e-01
9.300000000000000000e+01,1.792345604368524581e-01,1.211240326962593518e-02,1.380000000000000000e+02,1.822302205033179689e-01
9.400000000000000000e+01,6.055042568848918449e-01,1.585440254028741280e-01,2.500000000000000000e+01,1.820479902828146535e-01
9.500000000000000000e+01,1.897021338928956968e-01,1.238360148253800537e-02,5.900000000000000000e+01,1.818659422925318347e-01
9.600000000000000000e+01,4.924830883467623543e-01,8.409524549923493020e-02,1.700000000000000000e+01,1.816840763502393097e-01
9.700000000000000000e+01,1.965070776698003840e-01,1.279950083092672511e-02,6.400000000000000000e+01,1.815023922738890627e-01
9.800000000000000000e+01,3.612317517729814464e-01,4.893367665791691079e-02,2.700000000000000000e+01,1.813208898816151826e-01
9.900000000000000000e+01,2.224551088179838043e-01,1.673013090510120163e-02,6.200000000000000000e+01,1.811395689917335572e-01
1.000000000000000000e+02,6.976325275598921349e-01,1.642878372027551659e-01,1.100000000000000000e+01,1.809584294227418177e-01
1.010000000000000000e+02,1.582693532777234846e-01,9.218959962534306260e-03,1.450000000000000000e+02,1.807774709933190893e-01
1.020000000000000000e+02,7.664713249849590682e-01,2.361292977666205051e-01,1.400000000000000000e+01,1.805966935223257686e-01
1.030000000000000000e+02,1.861164097595630340e-01,1.513587330393060225e-02,1.380000000000000000e+02,1.804160968288034406e-01
1.040000000000000000e+02,1.114998059051839796e+00,5.087848740702928252e-01,1.300000000000000000e+01,1.802356807319746290e-01
