episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,1.381366862710836196e+00,8.048391496650807442e-01,1.700000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,9.644228541886397110e-01,4.113638164119466367e-01,1.000000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,8.610388396379234921e-01,3.476445023033573056e-01,9.000000000000000000e+00,1.996002000000000054e-01
3.000000000000000000e+00,5.800432860694861859e-01,1.951342379146836781e-01,1.100000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,6.195668319652309908e-01,1.947725015030959128e-01,1.400000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,9.756195214337616273e-01,4.199639434697460261e-01,1.200000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,8.633205721449146441e-01,4.491914657207584094e-01,1.600000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,4.420769425727627544e-01,9.783312352144810098e-02,1.000000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,8.809728227069590911e-01,3.530336856599652906e-01,1.000000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,1.044422603041552211e+00,5.483537242047188398e-01,2.500000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,5.355874824132477174e-01,1.574361728945262995e-01,4.100000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,1.241115344311690238e+00,7.582314158909728707e-01,1.600000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,4.161408656282780671e-01,7.810069304006343749e-02,1.700000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,7.987547242156068927e-01,3.241208298637215934e-01,1.400000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,7.032695264364640098e-01,2.600227342902036720e-01,4.000000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,6.874731553928050687e-01,1.991209360667337558e-01,1.500000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,4.329319840871574399e-01,1.184783300190807437e-01,3.700000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,6.471770272926226086e-01,1.939285636588937711e-01,8.900000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,8.647467949000738896e-01,3.142681051898329470e-01,3.900000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,6.799902412965032061e-01,2.136565005971379494e-01,2.400000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,1.192912401089408769e+00,5.420471963613663346e-01,1.000000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,1.201447377831883934e+00,5.560580695461412315e-01,1.100000000000000000e+01,1.958417351929410410e-01
2.200000000000000000e+01,4.648252854745203444e-01,1.100687663950015577e-01,8.500000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,4.394966249657973334e-01,8.608450054451763367e-02,1.060000000000000000e+02,1.954502475642903581e-01
2.400000000000000000e+01,6.169304308607828080e-01,1.827758392453852632e-01,5.200000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,5.922817080412287050e-01,1.465018478331943375e-01,2.400000000000000000e+01,1.950595425194093513e-01
2.600000000000000000e+01,5.485939289525142426e-01,1.202014975176819156e-01,1.700000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,6.022867978395977095e-01,1.653353381510187792e-01,1.180000000000000000e+02,1.946696184939130381e-01
2.800000000000000000e+01,5.077538398343576231e-01,1.011895521697479400e-01,5.600000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,4.533169344844569237e-01,7.806076379315937674e-02,4.900000000000000000e+01,1.942804739265437119e-01
