episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,7.831225319197736567e-01,3.084628676874988651e-01,1.400000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,6.928813004770570938e-01,2.671073893852423109e-01,2.800000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,1.279849974256282108e+00,6.761017792374404145e-01,9.000000000000000000e+00,1.996002000000000054e-01
3.000000000000000000e+00,8.472148642870881430e-01,3.337932691025768950e-01,3.100000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,5.483658649747522595e-01,1.448565077004965174e-01,2.400000000000000000e+01,1.992011992001999909e-01
5.000000000000000000e+00,1.395933430660137642e+00,8.003304432588170814e-01,1.300000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,1.385951972197045245e+00,7.390529049557573726e-01,1.100000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,7.448329482786689715e-01,2.779466005390295313e-01,5.300000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,1.063228270400372377e+00,4.860062711745944952e-01,1.200000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,1.624920796126426481e+00,1.012678953525948167e+00,9.000000000000000000e+00,1.982071832251748322e-01
1.000000000000000000e+01,1.114791414596636221e+00,5.519315332046914602e-01,1.200000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,1.310730305937584106e+00,7.103906880441200888e-01,1.100000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,1.383260804591643911e+00,7.508815886258339845e-01,9.000000000000000000e+00,1.976131560988418079e-01
1.300000000000000000e+01,1.505549350869393344e+00,9.183517755972003815e-01,9.000000000000000000e+00,1.974155429427429664e-01
1.400000000000000000e+01,1.525057913797383424e+00,9.010703506854339517e-01,1.000000000000000000e+01,1.972181273998002138e-01
1.500000000000000000e+01,1.614830426543522712e+00,1.055521507394436620e+00,9.000000000000000000e+00,1.970209092724004019e-01
1.600000000000000000e+01,1.394315843369682506e+00,8.217982161435727351e-01,9.000000000000000000e+00,1.968238883631280023e-01
1.700000000000000000e+01,1.417501146188866024e+00,8.153914054334365780e-01,1.100000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,1.104989464159462642e+00,4.912603106888634441e-01,1.740000000000000000e+02,1.964304374102901207e-01
1.900000000000000000e+01,9.817015065367953319e-01,3.592103470910018026e-01,1.200000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,4.327226114576001592e-01,6.650592194545912328e-02,5.500000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,4.022849951313954842e-01,6.076196570084423099e-02,1.820000000000000000e+02,1.958417351929410410e-01
2.200000000000000000e+01,7.492676418268691130e-01,2.499195908990795301e-01,3.100000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,5.884251250475460715e-01,1.039881770225602048e-01,1.500000000000000000e+01,1.954502475642903581e-01
2.400000000000000000e+01,4.756618717094592830e-01,6.710547876033226555e-02,2.500000000000000000e+01,1.952547973167260698e-01
2.500000000000000000e+01,3.877604661808739528e-01,4.771894183430575725e-02,1.520000000000000000e+02,1.950595425194093513e-01
2.600000000000000000e+01,4.226791518383760660e-01,8.265461098341231327e-02,9.200000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,4.258371316755352742e-01,6.538922889649229075e-02,1.170000000000000000e+02,1.946696184939130381e-01
2.800000000000000000e+01,7.602244711964244450e-01,2.176622699282153295e-01,1.400000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,3.933320230760224967e-01,5.056014896164574141e-02,4.400000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,3.183817914625337586e-01,3.498847256607329204e-02,1.990000000000000000e+02,1.940861934526171562e-01
3.100000000000000000e+01,5.297806545448440207e-01,1.485442505562796778e-01,6.400000000000000000e+01,1.938921072591645312e-01
3.200000000000000000e+01,4.564029713096393603e-01,6.361417454328667509e-02,2.400000000000000000e+01,1.936982151519053563e-01
3.300000000000000000e+01,3.273016955209156476e-01,3.303438988531898907e-02,4.400000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,3.312030861918123792e-01,3.664957271189191179e-02,1.520000000000000000e+02,1.933110124198166857e-01
3.500000000000000000e+01,1.121661886980991341e+00,5.376910233979438347e-01,1.600000000000000000e+01,1.931177014073968690e-01
3.600000000000000000e+01,8.984576537689795694e-01,1.815750699713161165e-01,1.400000000000000000e+01,1.929245837059894719e-01
3.700000000000000000e+01,3.922338490792296462e-01,4.678980118863982490e-02,3.500000000000000000e+01,1.927316591222834885e-01
3.800000000000000000e+01,3.410284304781922571e-01,3.829676998986498299e-02,6.300000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,3.406028898394719562e-01,4.266240968957374369e-02,9.900000000000000000e+01,1.923463885356980485e-01
4.000000000000000000e+01,3.982103646029154786e-01,6.711330008842286698e-02,6.400000000000000000e+01,1.921540421471623628e-01
4.100000000000000000e+01,4.327662466162625621e-01,6.280401799475837654e-02,4.300000000000000000e+01,1.919618881050151882e-01
4.200000000000000000e+01,2.069284922338484323e-01,1.699559942918273808e-02,9.400000000000000000e+01,1.917699262169101637e-01
4.300000000000000000e+01,5.889416995635688989e-01,1.220041127996898123e-01,1.800000000000000000e+01,1.915781562906932467e-01
