episodeNum,averagePredictionError,averageFreeEnergy,steps,eta
0.000000000000000000e+00,5.057625080407813778e-01,1.152333571169797122e-01,7.300000000000000000e+01,2.000000000000000111e-01
1.000000000000000000e+00,9.867957195238691304e-01,3.868578238255436230e-01,1.100000000000000000e+01,1.998000000000000054e-01
2.000000000000000000e+00,1.413726597779901839e+00,7.975974914441933405e-01,1.100000000000000000e+01,1.996002000000000054e-01
3.000000000000000000e+00,1.272496374072469294e+00,6.059144154065025933e-01,1.000000000000000000e+01,1.994005997999999946e-01
4.000000000000000000e+00,1.288278185176554125e+00,6.112348005706255138e-01,9.000000000000000000e+00,1.992011992001999909e-01
5.000000000000000000e+00,7.217230383115927905e-01,2.406598897060691633e-01,5.800000000000000000e+01,1.990019980009997969e-01
6.000000000000000000e+00,7.380020327640565148e-01,2.364442028530008288e-01,4.800000000000000000e+01,1.988029960029988052e-01
7.000000000000000000e+00,8.505841877290328812e-01,2.986467524348276892e-01,8.800000000000000000e+01,1.986041930069958050e-01
8.000000000000000000e+00,1.658847655371070262e+00,9.265859466974750713e-01,1.000000000000000000e+01,1.984055888139888146e-01
9.000000000000000000e+00,1.453007390929246689e+00,7.107963169227268230e-01,1.000000000000000000e+01,1.982071832251748322e-01
1.000000000000000000e+01,1.512264372357705389e+00,7.639451152136799150e-01,1.100000000000000000e+01,1.980089760419496692e-01
1.100000000000000000e+01,1.163834571663761475e+00,4.857972009848406381e-01,1.200000000000000000e+01,1.978109670659077279e-01
1.200000000000000000e+01,1.098625749806144247e+00,4.590529729361332301e-01,1.300000000000000000e+01,1.976131560988418079e-01
1.300000000000000000e+01,1.273765500879592727e+00,5.127232089472711918e-01,1.100000000000000000e+01,1.974155429427429664e-01
1.400000000000000000e+01,1.522501865018242473e+00,7.920646812708300732e-01,9.000000000000000000e+00,1.972181273998002138e-01
1.500000000000000000e+01,6.615875238426602856e-01,1.539583732589613341e-01,9.900000000000000000e+01,1.970209092724004019e-01
1.600000000000000000e+01,6.273597218054900448e-01,1.718127377808083833e-01,6.400000000000000000e+01,1.968238883631280023e-01
1.700000000000000000e+01,7.928042574259839270e-01,2.192351005284832177e-01,3.100000000000000000e+01,1.966270644747648844e-01
1.800000000000000000e+01,6.885605624753978748e-01,1.518441780058132073e-01,7.000000000000000000e+01,1.964304374102901207e-01
1.900000000000000000e+01,6.878915354593639897e-01,1.547491746773306254e-01,1.800000000000000000e+01,1.962340069728798209e-01
2.000000000000000000e+01,1.210209233854757205e+00,3.879220185363742024e-01,1.300000000000000000e+01,1.960377729659069368e-01
2.100000000000000000e+01,4.464006933371347796e-01,6.607016761087683432e-02,1.230000000000000000e+02,1.958417351929410410e-01
2.200000000000000000e+01,9.719009459349771118e-01,3.338435273603552189e-01,1.300000000000000000e+01,1.956458934577481046e-01
2.300000000000000000e+01,3.001855303336172232e-01,3.514830827922807432e-02,1.230000000000000000e+02,1.954502475642903581e-01
2.400000000000000000e+01,4.223712606749637777e-01,6.553044164359866919e-02,1.330000000000000000e+02,1.952547973167260698e-01
2.500000000000000000e+01,4.113959265109815022e-01,6.340391733245932804e-02,1.320000000000000000e+02,1.950595425194093513e-01
2.600000000000000000e+01,7.841254154824047751e-01,2.222834958025518282e-01,1.400000000000000000e+01,1.948644829768899356e-01
2.700000000000000000e+01,3.583645134983954872e-01,3.725510757132521888e-02,6.900000000000000000e+01,1.946696184939130381e-01
2.800000000000000000e+01,4.514375696041846853e-01,6.425311545080847342e-02,6.000000000000000000e+01,1.944749488754191347e-01
2.900000000000000000e+01,3.564905633743149505e-01,4.783238016813869120e-02,9.200000000000000000e+01,1.942804739265437119e-01
3.000000000000000000e+01,6.115458338218647816e-01,1.217711885793775206e-01,1.800000000000000000e+01,1.940861934526171562e-01
3.100000000000000000e+01,3.150781087123153967e-01,3.461450721842190131e-02,1.870000000000000000e+02,1.938921072591645312e-01
3.200000000000000000e+01,3.772689423296055056e-01,4.892229497168847779e-02,6.300000000000000000e+01,1.936982151519053563e-01
3.300000000000000000e+01,3.134518141904302224e-01,4.192663235702945995e-02,7.900000000000000000e+01,1.935045169367534401e-01
3.400000000000000000e+01,3.201571864527453237e-01,3.596445444938257963e-02,1.750000000000000000e+02,1.933110124198166857e-01
3.500000000000000000e+01,4.396269348980252345e-01,7.909307600056568466e-02,4.100000000000000000e+01,1.931177014073968690e-01
3.600000000000000000e+01,4.169727028531039492e-01,5.356203517511998885e-02,4.700000000000000000e+01,1.929245837059894719e-01
3.700000000000000000e+01,3.453305522326005073e-01,4.480752188547665327e-02,8.600000000000000000e+01,1.927316591222834885e-01
3.800000000000000000e+01,3.548951512180707479e-01,6.546216837232686492e-02,5.100000000000000000e+01,1.925389274631612024e-01
3.900000000000000000e+01,6.036805189745458877e-01,8.377670510390834713e-02,1.500000000000000000e+01,1.923463885356980485e-01
4.000000000000000000e+01,6.624591662429357708e-01,9.422255112837465973e-02,1.300000000000000000e+01,1.921540421471623628e-01
4.100000000000000000e+01,2.354834381030825041e-01,1.617841764656093723e-02,1.080000000000000000e+02,1.919618881050151882e-01
4.200000000000000000e+01,5.320831656883995286e-01,1.082717269059208093e-01,2.700000000000000000e+01,1.917699262169101637e-01
4.300000000000000000e+01,3.218961509685746569e-01,3.100908401101415413e-02,5.500000000000000000e+01,1.915781562906932467e-01
4.400000000000000000e+01,2.928816203523155748e-01,3.289880399010529366e-02,1.020000000000000000e+02,1.913865781344025463e-01
4.500000000000000000e+01,3.549605919511007457e-01,5.862946336549470366e-02,9.300000000000000000e+01,1.911951915562681570e-01
4.600000000000000000e+01,5.937434935181244988e-01,1.513275928788498370e-01,2.700000000000000000e+01,1.910039963647118810e-01
4.700000000000000000e+01,3.553831077577072617e-01,3.510603920970061659e-02,2.900000000000000000e+01,1.908129923683471729e-01
4.800000000000000000e+01,2.312502439237253959e-01,1.438777975729225479e-02,7.300000000000000000e+01,1.906221793759788341e-01
4.900000000000000000e+01,2.121449429699358014e-01,1.610439259555922903e-02,1.440000000000000000e+02,1.904315571966028464e-01
5.000000000000000000e+01,8.736599510050855333e-01,3.053238356926806785e-01,1.400000000000000000e+01,1.902411256394062333e-01
5.100000000000000000e+01,2.511419051982194395e-01,2.124808921557624908e-02,5.700000000000000000e+01,1.900508845137668379e-01
5.200000000000000000e+01,3.852014054905920637e-01,5.164286634888010791e-02,5.100000000000000000e+01,1.898608336292530729e-01
5.300000000000000000e+01,2.623027523979031272e-01,2.368797228734254023e-02,9.600000000000000000e+01,1.896709727956238101e-01
5.400000000000000000e+01,5.296578464194945379e-01,7.183910830314528539e-02,1.500000000000000000e+01,1.894813018228281853e-01
5.500000000000000000e+01,2.987731170791412816e-01,2.636618990711288649e-02,9.300000000000000000e+01,1.892918205210053495e-01
5.600000000000000000e+01,3.631645666936981764e-01,6.963957908539004926e-02,1.120000000000000000e+02,1.891025287004843569e-01
5.700000000000000000e+01,5.432658723496754938e-01,1.167640328919406778e-01,2.100000000000000000e+01,1.889134261717838603e-01
5.800000000000000000e+01,2.551068046773986575e-01,1.773125226843724062e-02,1.000000000000000000e+02,1.887245127456120830e-01
5.900000000000000000e+01,4.820269673137475563e-01,8.260008569870935791e-02,2.700000000000000000e+01,1.885357882328664580e-01
6.000000000000000000e+01,2.405787279582868587e-01,1.843782455215168745e-02,5.600000000000000000e+01,1.883472524446336005e-01
6.100000000000000000e+01,6.234833064097404787e-01,1.145133234886707846e-01,1.200000000000000000e+01,1.881589051921889744e-01
6.200000000000000000e+01,2.138085752150434005e-01,1.390339879658259413e-02,5.100000000000000000e+01,1.879707462869967816e-01
6.300000000000000000e+01,2.352504510932145187e-01,1.709532555740683399e-02,9.400000000000000000e+01,1.877827755407097954e-01
6.400000000000000000e+01,3.659202207011276187e-01,5.011784090477226089e-02,3.400000000000000000e+01,1.875949927651690829e-01
6.500000000000000000e+01,2.468904222056830799e-01,2.077739060398052159e-02,5.300000000000000000e+01,1.874073977724039219e-01
6.600000000000000000e+01,2.595458197666030142e-01,2.236441263174724844e-02,8.300000000000000000e+01,1.872199903746315230e-01
